#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,H-HCM,2-2N,"Ёлочка 1/8""","NPT 1/8""",-,S316,Нержавеющая сталь
,,2-4N,"Ёлочка 1/8""","NPT 1/4""",STEL,STEL,Углеродистая сталь
,,3-2N,"Ёлочка 3/16""","NPT 1/8""",BRAS,BRAS,Латунь
,,3-4N,"Ёлочка 3/16""","NPT 1/4""",,,
,,4-2N,"Ёлочка 1/4""","NPT 1/8""",,,
,,4-4N,"Ёлочка 1/4""","NPT 1/4""",,,
,,4-6N,"Ёлочка 1/4""","NPT 3/8""",,,
,,4-8N,"Ёлочка 1/4""","NPT 1/2""",,,
,,5-2N,"Ёлочка 5/16""","NPT 1/8""",,,
,,5-4N,"Ёлочка 5/16""","NPT 1/4""",,,
,,5-6N,"Ёлочка 5/16""","NPT 3/8""",,,
,,5-8N,"Ёлочка 5/16""","NPT 1/2""",,,
,,6-4N,"Ёлочка 3/8""","NPT 1/4""",,,
,,6-6N,"Ёлочка 3/8""","NPT 3/8""",,,
,,6-8N,"Ёлочка 3/8""","NPT 1/2""",,,
,,8-4N,"Ёлочка 1/2""","NPT 1/4""",,,
,,8-6N,"Ёлочка 1/2""","NPT 3/8""",,,
,,8-8N,"Ёлочка 1/2""","NPT 1/2""",,,
,,10-8N,"Ёлочка 5/8""","NPT 1/2""",,,
,,10-12N,"Ёлочка 5/8""","NPT 3/4""",,,
,,12-8N,"Ёлочка 3/4""","NPT 1/2""",,,
,,12-12N,"Ёлочка 3/4""","NPT 3/4""",,,
,,12-16N,"Ёлочка 3/4""","NPT 1""",,,
,,16-12N,"Ёлочка 1""","NPT 3/4""",,,
,,16-16N,"Ёлочка 1""","NPT 1""",,,
