#;Заказной код;Размер;Параметр:Размер:Ниппель;Параметр:Размер:NPT;Материал;Параметр:Материал:Материал;Условное обозначение:Материал:Материал
;CAF;3M-2N;3mm;"NPT 1/8""";-;S316;Нержавеющая сталь
;;3M-4N;3mm;"NPT 1/4""";BRAS;BRAS;Латунь
;;6M-2N;6mm;"NPT 1/8""";STEL;STEL;Углеродистая сталь
;;6M-4N;6mm;"NPT 1/4""";;;
;;6M-6N;6mm;"NPT 3/8""";;;
;;6M-8N;6mm;"NPT 1/2""";;;
;;8M-4N;8mm;"NPT 1/4""";;;
;;10M-2N;10mm;"NPT 1/8""";;;
;;10M-4N;10mm;"NPT 1/4""";;;
;;10M-6N;10mm;"NPT 3/8""";;;
;;10M-8N;10mm;"NPT 1/2""";;;
;;12M-4N;12mm;"NPT 1/4""";;;
;;12M-6N;12mm;"NPT 3/8""";;;
;;12M-8N;12mm;"NPT 1/2""";;;
;;12M-12N;12mm;"NPT 3/4""";;;
;;14M-4N;14mm;"NPT 1/4""";;;
;;14M-8N;14mm;"NPT 1/2""";;;
;;16M-6N;16mm;"NPT 3/8""";;;
;;18M-12N;18mm;"NPT 3/4""";;;
;;20M-8N;20mm;"NPT 1/2""";;;
;;20M-12N;20mm;"NPT 3/4""";;;
;;22M-16N;22mm;"NPT 1""";;;
;;25M-8N;25mm;"NPT 1/2""";;;
;;25M-12N;25mm;"NPT 3/4""";;;
;;25M-16N;25mm;"NPT 1""";;;
;;32M-20N;32mm;"NPT 1 1/4""";;;
;;38M-24N;38mm;"NPT 1 1/2""";;;
;;50M-32N;50mm;"NPT 2""";;;
;;2-2N;"1/8""";"NPT 1/8""";;;
;;2-4N;"1/8""";"NPT 1/4""";;;
;;4-2N;"1/4""";"NPT 1/8""";;;
;;4-4N;"1/4""";"NPT 1/4""";;;
;;4-6N;"1/4""";"NPT 3/8""";;;
;;4-8N;"1/4""";"NPT 1/2""";;;
;;6-2N;"3/8""";"NPT 1/8""";;;
;;6-4N;"3/8""";"NPT 1/4""";;;
;;6-6N;"3/8""";"NPT 3/8""";;;
;;6-8N;"3/8""";"NPT 1/2""";;;
;;8-4N;"1/2""";"NPT 1/4""";;;
;;8-6N;"1/2""";"NPT 3/8""";;;
;;8-8N;"1/2""";"NPT 1/2""";;;
;;12-8N;"3/4""";"NPT 1/2""";;;
;;12-12N;"3/4""";"NPT 3/4""";;;
;;16-12N;"1""";"NPT 3/4""";;;
;;16-16N;"1""";"NPT 1""";;;
;;20-20N;"1 1/4""";"NPT 1 1/4""";;;
;;24-24N;"1 1/2""";"NPT 1 1/2""";;;
;;32-32N;"2""";"NPT 2""";;;
