#,Заказной код,Параметр:Заказной код:Расход,Параметр:Заказной код:Корпус,Параметр:Заказной код:Дисплей,Параметр:Заказной код:Выходной сигнал,Параметр:Заказной код:Блок питания
,TLF-00-A-1-0-1-1-1,0-10 нсм³/мин,SS316,Без дисплея,0~5 VDC,Есть
,TLF-00-A-1-0-1-1-2,0-10 нсм³/мин,SS316,Без дисплея,0~5 VDC,Нет
,TLF-00-A-1-0-2-1-1,0-10 нсм³/мин,SS316,Без дисплея,4~20 мА,Есть
,TLF-00-A-1-0-2-1-2,0-10 нсм³/мин,SS316,Без дисплея,4~20 мА,Нет
,TLF-00-T-1-0-1-1-1,0-10 нсм³/мин,Тапкон,Без дисплея,0~5 VDC,Есть
,TLF-00-T-1-0-1-1-2,0-10 нсм³/мин,Тапкон,Без дисплея,0~5 VDC,Нет
,TLF-00-T-1-0-2-1-1,0-10 нсм³/мин,Тапкон,Без дисплея,4~20 мА,Есть
,TLF-00-T-1-0-2-1-2,0-10 нсм³/мин,Тапкон,Без дисплея,4~20 мА,Нет
,TLF-01-A-1-0-1-1-1,0-20 нсм³/мин,SS316,Без дисплея,0~5 VDC,Есть
,TLF-01-A-1-0-1-1-2,0-20 нсм³/мин,SS316,Без дисплея,0~5 VDC,Нет
,TLF-01-A-1-0-2-1-1,0-20 нсм³/мин,SS316,Без дисплея,4~20 мА,Есть
,TLF-01-A-1-0-2-1-2,0-20 нсм³/мин,SS316,Без дисплея,4~20 мА,Нет
,TLF-01-T-1-0-1-1-1,0-20 нсм³/мин,Тапкон,Без дисплея,0~5 VDC,Есть
,TLF-01-T-1-0-1-1-2,0-20 нсм³/мин,Тапкон,Без дисплея,0~5 VDC,Нет
,TLF-01-T-1-0-2-1-1,0-20 нсм³/мин,Тапкон,Без дисплея,4~20 мА,Есть
,TLF-01-T-1-0-2-1-2,0-20 нсм³/мин,Тапкон,Без дисплея,4~20 мА,Нет
,TLF-02-A-1-0-1-1-1,0-50 нсм³/мин,SS316,Без дисплея,0~5 VDC,Есть
,TLF-02-A-1-0-1-1-2,0-50 нсм³/мин,SS316,Без дисплея,0~5 VDC,Нет
,TLF-02-A-1-0-2-1-1,0-50 нсм³/мин,SS316,Без дисплея,4~20 мА,Есть
,TLF-02-A-1-0-2-1-2,0-50 нсм³/мин,SS316,Без дисплея,4~20 мА,Нет
,TLF-02-T-1-0-1-1-1,0-50 нсм³/мин,Тапкон,Без дисплея,0~5 VDC,Есть
,TLF-02-T-1-0-1-1-2,0-50 нсм³/мин,Тапкон,Без дисплея,0~5 VDC,Нет
,TLF-02-T-1-0-2-1-1,0-50 нсм³/мин,Тапкон,Без дисплея,4~20 мА,Есть
,TLF-02-T-1-0-2-1-2,0-50 нсм³/мин,Тапкон,Без дисплея,4~20 мА,Нет
,TLF-03-A-1-0-1-1-1,0-100 нсм³/мин,SS316,Без дисплея,0~5 VDC,Есть
,TLF-03-A-1-0-1-1-2,0-100 нсм³/мин,SS316,Без дисплея,0~5 VDC,Нет
,TLF-03-A-1-0-2-1-1,0-100 нсм³/мин,SS316,Без дисплея,4~20 мА,Есть
,TLF-03-A-1-0-2-1-2,0-100 нсм³/мин,SS316,Без дисплея,4~20 мА,Нет
,TLF-03-T-1-0-1-1-1,0-100 нсм³/мин,Тапкон,Без дисплея,0~5 VDC,Есть
,TLF-03-T-1-0-1-1-2,0-100 нсм³/мин,Тапкон,Без дисплея,0~5 VDC,Нет
,TLF-03-T-1-0-2-1-1,0-100 нсм³/мин,Тапкон,Без дисплея,4~20 мА,Есть
,TLF-03-T-1-0-2-1-2,0-100 нсм³/мин,Тапкон,Без дисплея,4~20 мА,Нет
,TLF-04-A-1-0-1-1-1,0-200 нсм³/мин,SS316,Без дисплея,0~5 VDC,Есть
,TLF-04-A-1-0-1-1-2,0-200 нсм³/мин,SS316,Без дисплея,0~5 VDC,Нет
,TLF-04-A-1-0-2-1-1,0-200 нсм³/мин,SS316,Без дисплея,4~20 мА,Есть
,TLF-04-A-1-0-2-1-2,0-200 нсм³/мин,SS316,Без дисплея,4~20 мА,Нет
,TLF-04-T-1-0-1-1-1,0-200 нсм³/мин,Тапкон,Без дисплея,0~5 VDC,Есть
,TLF-04-T-1-0-1-1-2,0-200 нсм³/мин,Тапкон,Без дисплея,0~5 VDC,Нет
,TLF-04-T-1-0-2-1-1,0-200 нсм³/мин,Тапкон,Без дисплея,4~20 мА,Есть
,TLF-04-T-1-0-2-1-2,0-200 нсм³/мин,Тапкон,Без дисплея,4~20 мА,Нет
,TLF-05-A-1-0-1-1-1,0-500 нсм³/мин,SS316,Без дисплея,0~5 VDC,Есть
,TLF-05-A-1-0-1-1-2,0-500 нсм³/мин,SS316,Без дисплея,0~5 VDC,Нет
,TLF-05-A-1-0-2-1-1,0-500 нсм³/мин,SS316,Без дисплея,4~20 мА,Есть
,TLF-05-A-1-0-2-1-2,0-500 нсм³/мин,SS316,Без дисплея,4~20 мА,Нет
,TLF-05-T-1-0-1-1-1,0-500 нсм³/мин,Тапкон,Без дисплея,0~5 VDC,Есть
,TLF-05-T-1-0-1-1-2,0-500 нсм³/мин,Тапкон,Без дисплея,0~5 VDC,Нет
,TLF-05-T-1-0-2-1-1,0-500 нсм³/мин,Тапкон,Без дисплея,4~20 мА,Есть
,TLF-05-T-1-0-2-1-2,0-500 нсм³/мин,Тапкон,Без дисплея,4~20 мА,Нет
,TLF-06-A-1-0-1-1-1,0-1 нл/мин,SS316,Без дисплея,0~5 VDC,Есть
,TLF-06-A-1-0-1-1-2,0-1 нл/мин,SS316,Без дисплея,0~5 VDC,Нет
,TLF-06-A-1-0-2-1-1,0-1 нл/мин,SS316,Без дисплея,4~20 мА,Есть
,TLF-06-A-1-0-2-1-2,0-1 нл/мин,SS316,Без дисплея,4~20 мА,Нет
,TLF-06-T-1-0-1-1-1,0-1 нл/мин,Тапкон,Без дисплея,0~5 VDC,Есть
,TLF-06-T-1-0-1-1-2,0-1 нл/мин,Тапкон,Без дисплея,0~5 VDC,Нет
,TLF-06-T-1-0-2-1-1,0-1 нл/мин,Тапкон,Без дисплея,4~20 мА,Есть
,TLF-06-T-1-0-2-1-2,0-1 нл/мин,Тапкон,Без дисплея,4~20 мА,Нет
,TLF-07-A-1-0-1-1-1,0-2 нл/мин,SS316,Без дисплея,0~5 VDC,Есть
,TLF-07-A-1-0-1-1-2,0-2 нл/мин,SS316,Без дисплея,0~5 VDC,Нет
,TLF-07-A-1-0-2-1-1,0-2 нл/мин,SS316,Без дисплея,4~20 мА,Есть
,TLF-07-A-1-0-2-1-2,0-2 нл/мин,SS316,Без дисплея,4~20 мА,Нет
,TLF-07-T-1-0-1-1-1,0-2 нл/мин,Тапкон,Без дисплея,0~5 VDC,Есть
,TLF-07-T-1-0-1-1-2,0-2 нл/мин,Тапкон,Без дисплея,0~5 VDC,Нет
,TLF-07-T-1-0-2-1-1,0-2 нл/мин,Тапкон,Без дисплея,4~20 мА,Есть
,TLF-07-T-1-0-2-1-2,0-2 нл/мин,Тапкон,Без дисплея,4~20 мА,Нет
,TLF-08-A-1-0-1-1-1,0-5 нл/мин,SS316,Без дисплея,0~5 VDC,Есть
,TLF-08-A-1-0-1-1-2,0-5 нл/мин,SS316,Без дисплея,0~5 VDC,Нет
,TLF-08-A-1-0-2-1-1,0-5 нл/мин,SS316,Без дисплея,4~20 мА,Есть
,TLF-08-A-1-0-2-1-2,0-5 нл/мин,SS316,Без дисплея,4~20 мА,Нет
,TLF-08-T-1-0-1-1-1,0-5 нл/мин,Тапкон,Без дисплея,0~5 VDC,Есть
,TLF-08-T-1-0-1-1-2,0-5 нл/мин,Тапкон,Без дисплея,0~5 VDC,Нет
,TLF-08-T-1-0-2-1-1,0-5 нл/мин,Тапкон,Без дисплея,4~20 мА,Есть
,TLF-08-T-1-0-2-1-2,0-5 нл/мин,Тапкон,Без дисплея,4~20 мА,Нет
,TLF-09-A-1-0-1-1-1,0-10 нл/мин,SS316,Без дисплея,0~5 VDC,Есть
,TLF-09-A-1-0-1-1-2,0-10 нл/мин,SS316,Без дисплея,0~5 VDC,Нет
,TLF-09-A-1-0-2-1-1,0-10 нл/мин,SS316,Без дисплея,4~20 мА,Есть
,TLF-09-A-1-0-2-1-2,0-10 нл/мин,SS316,Без дисплея,4~20 мА,Нет
,TLF-09-T-1-0-1-1-1,0-10 нл/мин,Тапкон,Без дисплея,0~5 VDC,Есть
,TLF-09-T-1-0-1-1-2,0-10 нл/мин,Тапкон,Без дисплея,0~5 VDC,Нет
,TLF-09-T-1-0-2-1-1,0-10 нл/мин,Тапкон,Без дисплея,4~20 мА,Есть
,TLF-09-T-1-0-2-1-2,0-10 нл/мин,Тапкон,Без дисплея,4~20 мА,Нет
,TLF-10-A-1-0-1-1-1,0-15 нл/мин,SS316,Без дисплея,0~5 VDC,Есть
,TLF-10-A-1-0-1-1-2,0-15 нл/мин,SS316,Без дисплея,0~5 VDC,Нет
,TLF-10-A-1-0-2-1-1,0-15 нл/мин,SS316,Без дисплея,4~20 мА,Есть
,TLF-10-A-1-0-2-1-2,0-15 нл/мин,SS316,Без дисплея,4~20 мА,Нет
,TLF-10-T-1-0-1-1-1,0-15 нл/мин,Тапкон,Без дисплея,0~5 VDC,Есть
,TLF-10-T-1-0-1-1-2,0-15 нл/мин,Тапкон,Без дисплея,0~5 VDC,Нет
,TLF-10-T-1-0-2-1-1,0-15 нл/мин,Тапкон,Без дисплея,4~20 мА,Есть
,TLF-10-T-1-0-2-1-2,0-15 нл/мин,Тапкон,Без дисплея,4~20 мА,Нет
,TLF-11-A-1-0-1-1-1,0-20 нл/мин,SS316,Без дисплея,0~5 VDC,Есть
,TLF-11-A-1-0-1-1-2,0-20 нл/мин,SS316,Без дисплея,0~5 VDC,Нет
,TLF-11-A-1-0-2-1-1,0-20 нл/мин,SS316,Без дисплея,4~20 мА,Есть
,TLF-11-A-1-0-2-1-2,0-20 нл/мин,SS316,Без дисплея,4~20 мА,Нет
,TLF-11-T-1-0-1-1-1,0-20 нл/мин,Тапкон,Без дисплея,0~5 VDC,Есть
,TLF-11-T-1-0-1-1-2,0-20 нл/мин,Тапкон,Без дисплея,0~5 VDC,Нет
,TLF-11-T-1-0-2-1-1,0-20 нл/мин,Тапкон,Без дисплея,4~20 мА,Есть
,TLF-11-T-1-0-2-1-2,0-20 нл/мин,Тапкон,Без дисплея,4~20 мА,Нет
,TLF-12-A-1-0-1-1-1,0-25 нл/мин,SS316,Без дисплея,0~5 VDC,Есть
,TLF-12-A-1-0-1-1-2,0-25 нл/мин,SS316,Без дисплея,0~5 VDC,Нет
,TLF-12-A-1-0-2-1-1,0-25 нл/мин,SS316,Без дисплея,4~20 мА,Есть
,TLF-12-A-1-0-2-1-2,0-25 нл/мин,SS316,Без дисплея,4~20 мА,Нет
,TLF-12-T-1-0-1-1-1,0-25 нл/мин,Тапкон,Без дисплея,0~5 VDC,Есть
,TLF-12-T-1-0-1-1-2,0-25 нл/мин,Тапкон,Без дисплея,0~5 VDC,Нет
,TLF-12-T-1-0-2-1-1,0-25 нл/мин,Тапкон,Без дисплея,4~20 мА,Есть
,TLF-12-T-1-0-2-1-2,0-25 нл/мин,Тапкон,Без дисплея,4~20 мА,Нет
,TLF-13-A-1-0-1-1-1,0-30 нл/мин,SS316,Без дисплея,0~5 VDC,Есть
,TLF-13-A-1-0-1-1-2,0-30 нл/мин,SS316,Без дисплея,0~5 VDC,Нет
,TLF-13-A-1-0-2-1-1,0-30 нл/мин,SS316,Без дисплея,4~20 мА,Есть
,TLF-13-A-1-0-2-1-2,0-30 нл/мин,SS316,Без дисплея,4~20 мА,Нет
,TLF-13-T-1-0-1-1-1,0-30 нл/мин,Тапкон,Без дисплея,0~5 VDC,Есть
,TLF-13-T-1-0-1-1-2,0-30 нл/мин,Тапкон,Без дисплея,0~5 VDC,Нет
,TLF-13-T-1-0-2-1-1,0-30 нл/мин,Тапкон,Без дисплея,4~20 мА,Есть
,TLF-13-T-1-0-2-1-2,0-30 нл/мин,Тапкон,Без дисплея,4~20 мА,Нет
,TLF-14-A-1-0-1-1-1,0-35 нл/мин,SS316,Без дисплея,0~5 VDC,Есть
,TLF-14-A-1-0-1-1-2,0-35 нл/мин,SS316,Без дисплея,0~5 VDC,Нет
,TLF-14-A-1-0-2-1-1,0-35 нл/мин,SS316,Без дисплея,4~20 мА,Есть
,TLF-14-A-1-0-2-1-2,0-35 нл/мин,SS316,Без дисплея,4~20 мА,Нет
,TLF-14-T-1-0-1-1-1,0-35 нл/мин,Тапкон,Без дисплея,0~5 VDC,Есть
,TLF-14-T-1-0-1-1-2,0-35 нл/мин,Тапкон,Без дисплея,0~5 VDC,Нет
,TLF-14-T-1-0-2-1-1,0-35 нл/мин,Тапкон,Без дисплея,4~20 мА,Есть
,TLF-14-T-1-0-2-1-2,0-35 нл/мин,Тапкон,Без дисплея,4~20 мА,Нет
,TLF-15-A-1-0-1-1-1,0-40 нл/мин,SS316,Без дисплея,0~5 VDC,Есть
,TLF-15-A-1-0-1-1-2,0-40 нл/мин,SS316,Без дисплея,0~5 VDC,Нет
,TLF-15-A-1-0-2-1-1,0-40 нл/мин,SS316,Без дисплея,4~20 мА,Есть
,TLF-15-A-1-0-2-1-2,0-40 нл/мин,SS316,Без дисплея,4~20 мА,Нет
,TLF-15-T-1-0-1-1-1,0-40 нл/мин,Тапкон,Без дисплея,0~5 VDC,Есть
,TLF-15-T-1-0-1-1-2,0-40 нл/мин,Тапкон,Без дисплея,0~5 VDC,Нет
,TLF-15-T-1-0-2-1-1,0-40 нл/мин,Тапкон,Без дисплея,4~20 мА,Есть
,TLF-15-T-1-0-2-1-2,0-40 нл/мин,Тапкон,Без дисплея,4~20 мА,Нет
,TLF-16-A-1-0-1-1-1,0-45 нл/мин,SS316,Без дисплея,0~5 VDC,Есть
,TLF-16-A-1-0-1-1-2,0-45 нл/мин,SS316,Без дисплея,0~5 VDC,Нет
,TLF-16-A-1-0-2-1-1,0-45 нл/мин,SS316,Без дисплея,4~20 мА,Есть
,TLF-16-A-1-0-2-1-2,0-45 нл/мин,SS316,Без дисплея,4~20 мА,Нет
,TLF-16-T-1-0-1-1-1,0-45 нл/мин,Тапкон,Без дисплея,0~5 VDC,Есть
,TLF-16-T-1-0-1-1-2,0-45 нл/мин,Тапкон,Без дисплея,0~5 VDC,Нет
,TLF-16-T-1-0-2-1-1,0-45 нл/мин,Тапкон,Без дисплея,4~20 мА,Есть
,TLF-16-T-1-0-2-1-2,0-45 нл/мин,Тапкон,Без дисплея,4~20 мА,Нет
,TLF-17-A-1-0-1-1-1,0-50 нл/мин,SS316,Без дисплея,0~5 VDC,Есть
,TLF-17-A-1-0-1-1-2,0-50 нл/мин,SS316,Без дисплея,0~5 VDC,Нет
,TLF-17-A-1-0-2-1-1,0-50 нл/мин,SS316,Без дисплея,4~20 мА,Есть
,TLF-17-A-1-0-2-1-2,0-50 нл/мин,SS316,Без дисплея,4~20 мА,Нет
,TLF-17-T-1-0-1-1-1,0-50 нл/мин,Тапкон,Без дисплея,0~5 VDC,Есть
,TLF-17-T-1-0-1-1-2,0-50 нл/мин,Тапкон,Без дисплея,0~5 VDC,Нет
,TLF-17-T-1-0-2-1-1,0-50 нл/мин,Тапкон,Без дисплея,4~20 мА,Есть
,TLF-17-T-1-0-2-1-2,0-50 нл/мин,Тапкон,Без дисплея,4~20 мА,Нет
,TLF-18-A-1-0-1-1-1,0-55 нл/мин,SS316,Без дисплея,0~5 VDC,Есть
,TLF-18-A-1-0-1-1-2,0-55 нл/мин,SS316,Без дисплея,0~5 VDC,Нет
,TLF-18-A-1-0-2-1-1,0-55 нл/мин,SS316,Без дисплея,4~20 мА,Есть
,TLF-18-A-1-0-2-1-2,0-55 нл/мин,SS316,Без дисплея,4~20 мА,Нет
,TLF-18-T-1-0-1-1-1,0-55 нл/мин,Тапкон,Без дисплея,0~5 VDC,Есть
,TLF-18-T-1-0-1-1-2,0-55 нл/мин,Тапкон,Без дисплея,0~5 VDC,Нет
,TLF-18-T-1-0-2-1-1,0-55 нл/мин,Тапкон,Без дисплея,4~20 мА,Есть
,TLF-18-T-1-0-2-1-2,0-55 нл/мин,Тапкон,Без дисплея,4~20 мА,Нет
,TLF-19-A-1-0-1-1-1,0-60 нл/мин,SS316,Без дисплея,0~5 VDC,Есть
,TLF-19-A-1-0-1-1-2,0-60 нл/мин,SS316,Без дисплея,0~5 VDC,Нет
,TLF-19-A-1-0-2-1-1,0-60 нл/мин,SS316,Без дисплея,4~20 мА,Есть
,TLF-19-A-1-0-2-1-2,0-60 нл/мин,SS316,Без дисплея,4~20 мА,Нет
,TLF-19-T-1-0-1-1-1,0-60 нл/мин,Тапкон,Без дисплея,0~5 VDC,Есть
,TLF-19-T-1-0-1-1-2,0-60 нл/мин,Тапкон,Без дисплея,0~5 VDC,Нет
,TLF-19-T-1-0-2-1-1,0-60 нл/мин,Тапкон,Без дисплея,4~20 мА,Есть
,TLF-19-T-1-0-2-1-2,0-60 нл/мин,Тапкон,Без дисплея,4~20 мА,Нет
,TLF-20-A-1-0-1-1-1,0-65 нл/мин,SS316,Без дисплея,0~5 VDC,Есть
,TLF-20-A-1-0-1-1-2,0-65 нл/мин,SS316,Без дисплея,0~5 VDC,Нет
,TLF-20-A-1-0-2-1-1,0-65 нл/мин,SS316,Без дисплея,4~20 мА,Есть
,TLF-20-A-1-0-2-1-2,0-65 нл/мин,SS316,Без дисплея,4~20 мА,Нет
,TLF-20-T-1-0-1-1-1,0-65 нл/мин,Тапкон,Без дисплея,0~5 VDC,Есть
,TLF-20-T-1-0-1-1-2,0-65 нл/мин,Тапкон,Без дисплея,0~5 VDC,Нет
,TLF-20-T-1-0-2-1-1,0-65 нл/мин,Тапкон,Без дисплея,4~20 мА,Есть
,TLF-20-T-1-0-2-1-2,0-65 нл/мин,Тапкон,Без дисплея,4~20 мА,Нет
,TLF-21-A-1-0-1-1-1,0-70 нл/мин,SS316,Без дисплея,0~5 VDC,Есть
,TLF-21-A-1-0-1-1-2,0-70 нл/мин,SS316,Без дисплея,0~5 VDC,Нет
,TLF-21-A-1-0-2-1-1,0-70 нл/мин,SS316,Без дисплея,4~20 мА,Есть
,TLF-21-A-1-0-2-1-2,0-70 нл/мин,SS316,Без дисплея,4~20 мА,Нет
,TLF-21-T-1-0-1-1-1,0-70 нл/мин,Тапкон,Без дисплея,0~5 VDC,Есть
,TLF-21-T-1-0-1-1-2,0-70 нл/мин,Тапкон,Без дисплея,0~5 VDC,Нет
,TLF-21-T-1-0-2-1-1,0-70 нл/мин,Тапкон,Без дисплея,4~20 мА,Есть
,TLF-21-T-1-0-2-1-2,0-70 нл/мин,Тапкон,Без дисплея,4~20 мА,Нет
,TLF-22-A-1-0-1-1-1,0-75 нл/мин,SS316,Без дисплея,0~5 VDC,Есть
,TLF-22-A-1-0-1-1-2,0-75 нл/мин,SS316,Без дисплея,0~5 VDC,Нет
,TLF-22-A-1-0-2-1-1,0-75 нл/мин,SS316,Без дисплея,4~20 мА,Есть
,TLF-22-A-1-0-2-1-2,0-75 нл/мин,SS316,Без дисплея,4~20 мА,Нет
,TLF-22-T-1-0-1-1-1,0-75 нл/мин,Тапкон,Без дисплея,0~5 VDC,Есть
,TLF-22-T-1-0-1-1-2,0-75 нл/мин,Тапкон,Без дисплея,0~5 VDC,Нет
,TLF-22-T-1-0-2-1-1,0-75 нл/мин,Тапкон,Без дисплея,4~20 мА,Есть
,TLF-22-T-1-0-2-1-2,0-75 нл/мин,Тапкон,Без дисплея,4~20 мА,Нет
,TLF-23-A-1-0-1-1-1,0-100 нл/мин,SS316,Без дисплея,0~5 VDC,Есть
,TLF-23-A-1-0-1-1-2,0-100 нл/мин,SS316,Без дисплея,0~5 VDC,Нет
,TLF-23-A-1-0-2-1-1,0-100 нл/мин,SS316,Без дисплея,4~20 мА,Есть
,TLF-23-A-1-0-2-1-2,0-100 нл/мин,SS316,Без дисплея,4~20 мА,Нет
,TLF-23-T-1-0-1-1-1,0-100 нл/мин,Тапкон,Без дисплея,0~5 VDC,Есть
