#,Заказной код,Параметр:Заказной код:Расход,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Контакты
,SF350-G-A-0-PC-1-A-BT,7-70 л/мин,"NPT 3/4""",Без контакнтов
,SF350-G-B-0-PC-1-A-BT,10-100 л/мин,"NPT 3/4""",Без контакнтов
,SF350-G-C-0-PC-1-A-BT,15-150 л/мин,"NPT 3/4""",Без контакнтов
,SF350-G-A-0-PC-1-B-BT,7-70 л/мин,"NPT 1""",Без контакнтов
,SF350-G-B-0-PC-1-B-BT,10-100 л/мин,"NPT 1""",Без контакнтов
,SF350-G-C-0-PC-1-B-BT,15-150 л/мин,"NPT 1""",Без контакнтов
,SF350-G-D-0-PC-1-C-BT,20-200 л/мин,NPT 1¼,Без контакнтов
,SF350-G-E-0-PC-1-C-BT,25-250 л/мин,NPT 1¼,Без контакнтов
,SF350-G-D-0-PC-1-D-BT,20-200 л/мин,NPT 1½,Без контакнтов
,SF350-G-E-0-PC-1-D-BT,25-250 л/мин,NPT 1½,Без контакнтов
,SF350-G-A-1R-PC-1-A-BT,7-70 л/мин,"NPT 3/4""",один контакт
,SF350-G-B-1R-PC-1-A-BT,10-100 л/мин,"NPT 3/4""",один контакт
,SF350-G-C-1R-PC-1-A-BT,15-150 л/мин,"NPT 3/4""",один контакт
,SF350-G-A-1R-PC-1-B-BT,7-70 л/мин,"NPT 1""",один контакт
,SF350-G-B-1R-PC-1-B-BT,10-100 л/мин,"NPT 1""",один контакт
,SF350-G-C-1R-PC-1-B-BT,15-150 л/мин,"NPT 1""",один контакт
,SF350-G-D-1R-PC-1-C-BT,20-200 л/мин,NPT 1¼,один контакт
,SF350-G-E-1R-PC-1-C-BT,25-250 л/мин,NPT 1¼,один контакт
,SF350-G-D-1R-PC-1-D-BT,20-200 л/мин,NPT 1½,один контакт
,SF350-G-E-1R-PC-1-D-BT,25-250 л/мин,NPT 1½,один контакт
,SF350-G-A-0-PC-1-A-TB,7-70 л/мин,"NPT 3/4""",Без контакнтов
,SF350-G-B-0-PC-1-A-TB,10-100 л/мин,"NPT 3/4""",Без контакнтов
,SF350-G-C-0-PC-1-A-TB,15-150 л/мин,"NPT 3/4""",Без контакнтов
,SF350-G-A-0-PC-1-B-TB,7-70 л/мин,"NPT 1""",Без контакнтов
,SF350-G-B-0-PC-1-B-TB,10-100 л/мин,"NPT 1""",Без контакнтов
,SF350-G-C-0-PC-1-B-TB,15-150 л/мин,"NPT 1""",Без контакнтов
,SF350-G-D-0-PC-1-C-TB,20-200 л/мин,NPT 1¼,Без контакнтов
,SF350-G-E-0-PC-1-C-TB,25-250 л/мин,NPT 1¼,Без контакнтов
,SF350-G-D-0-PC-1-D-TB,20-200 л/мин,NPT 1½,Без контакнтов
,SF350-G-E-0-PC-1-D-TB,25-250 л/мин,NPT 1½,Без контакнтов
,SF350-G-A-1R-PC-1-A-TB,7-70 л/мин,"NPT 3/4""",один контакт
,SF350-G-B-1R-PC-1-A-TB,10-100 л/мин,"NPT 3/4""",один контакт
,SF350-G-C-1R-PC-1-A-TB,15-150 л/мин,"NPT 3/4""",один контакт
,SF350-G-A-1R-PC-1-B-TB,7-70 л/мин,"NPT 1""",один контакт
,SF350-G-B-1R-PC-1-B-TB,10-100 л/мин,"NPT 1""",один контакт
,SF350-G-C-1R-PC-1-B-TB,15-150 л/мин,"NPT 1""",один контакт
,SF350-G-D-1R-PC-1-C-TB,20-200 л/мин,NPT 1¼,один контакт
,SF350-G-E-1R-PC-1-C-TB,25-250 л/мин,NPT 1¼,один контакт
,SF350-G-D-1R-PC-1-D-TB,20-200 л/мин,NPT 1½,один контакт
,SF350-G-E-1R-PC-1-D-TB,25-250 л/мин,NPT 1½,один контакт
,SF350-G-A-0-PC-1-A-RL,7-70 л/мин,"NPT 3/4""",Без контакнтов
,SF350-G-B-0-PC-1-A-RL,10-100 л/мин,"NPT 3/4""",Без контакнтов
,SF350-G-C-0-PC-1-A-RL,15-150 л/мин,"NPT 3/4""",Без контакнтов
,SF350-G-A-0-PC-1-B-RL,7-70 л/мин,"NPT 1""",Без контакнтов
,SF350-G-B-0-PC-1-B-RL,10-100 л/мин,"NPT 1""",Без контакнтов
,SF350-G-C-0-PC-1-B-RL,15-150 л/мин,"NPT 1""",Без контакнтов
,SF350-G-D-0-PC-1-C-RL,20-200 л/мин,NPT 1¼,Без контакнтов
,SF350-G-E-0-PC-1-C-RL,25-250 л/мин,NPT 1¼,Без контакнтов
,SF350-G-D-0-PC-1-D-RL,20-200 л/мин,"NPT 1-1/2""",Без контакнтов
,SF350-G-E-0-PC-1-D-RL,25-250 л/мин,"NPT 1-1/2""",Без контакнтов
,SF350-G-A-1R-PC-1-A-RL,7-70 л/мин,"NPT 3/4""",один контакт
,SF350-G-B-1R-PC-1-A-RL,10-100 л/мин,"NPT 3/4""",один контакт
,SF350-G-C-1R-PC-1-A-RL,15-150 л/мин,"NPT 3/4""",один контакт
,SF350-G-A-1R-PC-1-B-RL,7-70 л/мин,"NPT 1""",один контакт
,SF350-G-B-1R-PC-1-B-RL,10-100 л/мин,"NPT 1""",один контакт
,SF350-G-C-1R-PC-1-B-RL,15-150 л/мин,"NPT 1""",один контакт
,SF350-G-D-1R-PC-1-C-RL,20-200 л/мин,NPT 1¼,один контакт
