#,Заказной код,Параметр:Заказной код:Давление открытия,Параметр:Заказной код:Cv,Параметр:Заказной код:Ду (мм),Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Материал седла,Параметр:Заказной код:Рабочее давление,Параметр:Заказной код:Температура минимальная,Параметр:Заказной код:Температура максимальная
,CV1-F-4N-1/3-NE,"0,023бар","1,48","7,1",NPT 1/4 внутр.,Neoprene,206бар,-40°С,121°С
,CV2-F-4R-1/3-NE,"0,023бар","1,48","7,1",RT 1/4 внутр.,Neoprene,206бар,-40°С,121°С
,CV3-F-6N-1/3-NE,"0,023бар","1,7",10,NPT 3/8 внутр.,Neoprene,206бар,-40°С,121°С
,CV3-F-6R-1/3-NE,"0,023бар","1,7",10,RT 3/8 внутр.,Neoprene,206бар,-40°С,121°С
,CV4-F-8N-1/3-NE,"0,023бар","2,6","13,5",NPT 1/2 внутр.,Neoprene,206бар,-40°С,121°С
,CV4-F-8R-1/3-NE,"0,023бар","2,6","13,5",RT 1/2 внутр.,Neoprene,206бар,-40°С,121°С
,CV5-F-12N-1/3-NE,"0,023бар","5,2",16,NPT 3/4 внутр.,Neoprene,137бар,-40°С,121°С
,CV5-F-12R-1/3-NE,"0,023бар","5,2",16,RT 3/4 внутр.,Neoprene,137бар,-40°С,121°С
,CV6-F-16N-1/3-NE,"0,023бар",8,18,NPT 1 внутр.,Neoprene,137бар,-40°С,121°С
,CV6-F-16R-1/3-NE,"0,023бар",8,18,RT 1 внутр.,Neoprene,137бар,-40°С,121°С
,CV1-M-2N-1/3-NE,"0,023бар","0,47","4,8",NPT 1/8 наруж.,Neoprene,206бар,-40°С,121°С
,CV1-M-2R-1/3-NE,"0,023бар","0,47","4,8",RT 1/8 наруж.,Neoprene,206бар,-40°С,121°С
,CV1-M-4N-1/3-NE,"0,023бар","0,47","4,8",NPT 1/4 наруж.,Neoprene,206бар,-40°С,121°С
,CV1-M-4R-1/3-NE,"0,023бар","0,47","4,8",RT 1/4 наруж.,Neoprene,206бар,-40°С,121°С
,CV2-M-6N-1/3-NE,"0,023бар","1,48","7,1",NPT 3/8 наруж.,Neoprene,206бар,-40°С,121°С
,CV2-M-6R-1/3-NE,"0,023бар","1,48","7,1",RT 3/8 наруж.,Neoprene,206бар,-40°С,121°С
,CV3-M-8N-1/3-NE,"0,023бар","1,7",10,NPT 1/2 наруж.,Neoprene,206бар,-40°С,121°С
,CV3-M-8R-1/3-NE,"0,023бар","1,7",10,RT 1/2 наруж.,Neoprene,206бар,-40°С,121°С
,CV5-M-12N-1/3-NE,"0,023бар","5,2",16,NPT 3/4 наруж.,Neoprene,137бар,-40°С,121°С
,CV5-M-12R-1/3-NE,"0,023бар","5,2",16,RT 3/4 наруж.,Neoprene,137бар,-40°С,121°С
