#,Заказной код,Параметр:Заказной код:Давление срабатывания,Параметр:Заказной код:Вход,Параметр:Заказной код:Уплотнение,Параметр:Заказной код:Рабочее давление,Параметр:Заказной код:Температура минимальная,Параметр:Заказной код:Температура максимальная,Параметр:Заказной код:Выход,Параметр:Заказной код:Давление срабатывания
,RV2-H-4T-KA-B,"51,5-103бар",Hy-Lok 1/4,Kalrez,414 бар,-23°,315°C,Hy-Lok 1/4,"51,5-103бар (RV2)"
,RV2-H-8T-KA-B,"51,5-103бар",Hy-Lok 1/2,Kalrez,414 бар,-23°,315°C,Hy-Lok 1/2,"51,5-103бар (RV2)"
,RV2-MH-8N8T-KA-B,"51,5-103бар",NPT 1/2,Kalrez,414 бар,-23°,315°C,Hy-Lok 1/2,"51,5-103бар (RV2)"
,RV2-MH-8N12M-KA-B,"51,5-103бар",NPT 1/2,Kalrez,414 бар,-23°,315°C,Hy-Lok 12mm,"51,5-103бар (RV2)"
,RV2-MF-4N-KA-B,"51,5-103бар",NPT 1/4,Kalrez,414 бар,-23°,315°C,NPT 1/4,"51,5-103бар (RV2)"
,RV2-MF-6N-KA-B,"51,5-103бар",NPT 3/8,Kalrez,414 бар,-23°,315°C,NPT 3/8,"51,5-103бар (RV2)"
,RV2-MF-8N-KA-B,"51,5-103бар",NPT 1/2,Kalrez,414 бар,-23°,315°C,NPT 1/2,"51,5-103бар (RV2)"
,RV2-H-6M-C,103-155бар,Hy-Lok 6mm,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 6mm,103-155бар (RV2)
,RV2-H-8M-C,103-155бар,Hy-Lok 8mm,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 8mm,103-155бар (RV2)
,RV2-H-10M-C,103-155бар,Hy-Lok 10mm,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 10mm,103-155бар (RV2)
,RV2-H-12M-C,103-155бар,Hy-Lok 12mm,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 12mm,103-155бар (RV2)
,RV2-H-4T-C,103-155бар,Hy-Lok 1/4,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 1/4,103-155бар (RV2)
,RV2-H-8T-C,103-155бар,Hy-Lok 1/2,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 1/2,103-155бар (RV2)
,RV2-MH-8N8T-C,103-155бар,NPT 1/2,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 1/2,103-155бар (RV2)
,RV2-MH-8N12M-C,103-155бар,NPT 1/2,Viton (стандарт),414 бар,-23°,204°C,Hy-Lok 12mm,103-155бар (RV2)
,RV2-MF-4N-C,103-155бар,NPT 1/4,Viton (стандарт),414 бар,-23°,204°C,NPT 1/4,103-155бар (RV2)
,RV2-MF-6N-C,103-155бар,NPT 3/8,Viton (стандарт),414 бар,-23°,204°C,NPT 3/8,103-155бар (RV2)
,RV2-MF-8N-C,103-155бар,NPT 1/2,Viton (стандарт),414 бар,-23°,204°C,NPT 1/2,103-155бар (RV2)
,RV2-H-6M-EP-C,103-155бар,Hy-Lok 6mm,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 6mm,103-155бар (RV2)
,RV2-H-8M-EP-C,103-155бар,Hy-Lok 8mm,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 8mm,103-155бар (RV2)
,RV2-H-10M-EP-C,103-155бар,Hy-Lok 10mm,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 10mm,103-155бар (RV2)
,RV2-H-12M-EP-C,103-155бар,Hy-Lok 12mm,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 12mm,103-155бар (RV2)
,RV2-H-4T-EP-C,103-155бар,Hy-Lok 1/4,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 1/4,103-155бар (RV2)
,RV2-H-8T-EP-C,103-155бар,Hy-Lok 1/2,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 1/2,103-155бар (RV2)
,RV2-MH-8N8T-EP-C,103-155бар,NPT 1/2,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 1/2,103-155бар (RV2)
,RV2-MH-8N12M-EP-C,103-155бар,NPT 1/2,Этиленпропилен,414 бар,-46°,149°C,Hy-Lok 12mm,103-155бар (RV2)
,RV2-MF-4N-EP-C,103-155бар,NPT 1/4,Этиленпропилен,414 бар,-46°,149°C,NPT 1/4,103-155бар (RV2)
,RV2-MF-6N-EP-C,103-155бар,NPT 3/8,Этиленпропилен,414 бар,-46°,149°C,NPT 3/8,103-155бар (RV2)
,RV2-MF-8N-EP-C,103-155бар,NPT 1/2,Этиленпропилен,414 бар,-46°,149°C,NPT 1/2,103-155бар (RV2)
,RV2-H-6M-KA-C,103-155бар,Hy-Lok 6mm,Kalrez,414 бар,-23°,315°C,Hy-Lok 6mm,103-155бар (RV2)
,RV2-H-8M-KA-C,103-155бар,Hy-Lok 8mm,Kalrez,414 бар,-23°,315°C,Hy-Lok 8mm,103-155бар (RV2)
,RV2-H-10M-KA-C,103-155бар,Hy-Lok 10mm,Kalrez,414 бар,-23°,315°C,Hy-Lok 10mm,103-155бар (RV2)
,RV2-H-12M-KA-C,103-155бар,Hy-Lok 12mm,Kalrez,414 бар,-23°,315°C,Hy-Lok 12mm,103-155бар (RV2)
,RV2-H-4T-KA-C,103-155бар,Hy-Lok 1/4,Kalrez,414 бар,-23°,315°C,Hy-Lok 1/4,103-155бар (RV2)
,RV2-H-8T-KA-C,103-155бар,Hy-Lok 1/2,Kalrez,414 бар,-23°,315°C,Hy-Lok 1/2,103-155бар (RV2)
,RV2-MH-8N8T-KA-C,103-155бар,NPT 1/2,Kalrez,414 бар,-23°,315°C,Hy-Lok 1/2,103-155бар (RV2)
,RV2-MH-8N12M-KA-C,103-155бар,NPT 1/2,Kalrez,414 бар,-23°,315°C,Hy-Lok 12mm,103-155бар (RV2)
,RV2-MF-4N-KA-C,103-155бар,NPT 1/4,Kalrez,414 бар,-23°,315°C,NPT 1/4,103-155бар (RV2)
,RV2-MF-6N-KA-C,103-155бар,NPT 3/8,Kalrez,414 бар,-23°,315°C,NPT 3/8,103-155бар (RV2)
