#,Заказной код,Параметр:Заказной код:Седло,Параметр:Заказной код:Давление,Параметр:Заказной код:Вход,Параметр:Заказной код:Выход,
,VRCDA-M-4N-TF-BR-I-,-,24-48 бар,"NPT 1/4"" наруж.",-,
,VRCDA-MF-4N-SS-D-2.3bar,2.3bar,1.1-2.5 бар,"NPT 1/4"" наруж.","NPT 1/4"" внутр.",
,VRCDA-MF-4N-SS-E-4.6bar,4.6bar,2.4-5.2 бар,"NPT 1/4"" наруж.","NPT 1/4"" внутр.",
,VRCDA-MF-4N-SS-G-9.1bar,9.1bar,8.6-10.4 бар,"NPT 1/4"" наруж.","NPT 1/4"" внутр.",
,VRCDA-MF-4N-SS-H-22.1bar,22.1bar,10.4-24 бар,"NPT 1/4"" наруж.","NPT 1/4"" внутр.",
,VRCDA-MF-4N-SS-I-45.5bar,45.5bar,24-48 бар,"NPT 1/4"" наруж.","NPT 1/4"" внутр.",
,VRCDA-MF-4N-TF-SS-H-22.1bar,22.1bar,10.4-24 бар,"NPT 1/4"" наруж.","NPT 1/4"" внутр.",
,VRCDA-MF-4N-TF-SS-I-45.5bar,45.5bar,24-48 бар,"NPT 1/4"" наруж.","NPT 1/4"" внутр.",
,VRCDA-MF-4N-BR-D-2.3bar,2.3bar,1.1-2.5 бар,"NPT 1/4"" наруж.","NPT 1/4"" внутр.",
,VRCDA-MF-4N-BR-E-4.6bar,4.6bar,2.4-5.2 бар,"NPT 1/4"" наруж.","NPT 1/4"" внутр.",
,VRCDA-MF-4N-BR-G-9.1bar,9.1bar,8.6-10.4 бар,"NPT 1/4"" наруж.","NPT 1/4"" внутр.",
,VRCDA-MF-4N-BR-H-22.1bar,22.1bar,10.4-24 бар,"NPT 1/4"" наруж.","NPT 1/4"" внутр.",
,VRCDA-MF-4N-BR-I-45.5bar,45.5bar,24-48 бар,"NPT 1/4"" наруж.","NPT 1/4"" внутр.",
,VRCDA-MF-4N-TF-BR-H-22.1bar,22.1bar,10.4-24 бар,"NPT 1/4"" наруж.","NPT 1/4"" внутр.",
,VRCDA-MF-4N-TF-BR-I-45.5bar,45.5bar,24-48 бар,"NPT 1/4"" наруж.","NPT 1/4"" внутр.",
,VRCDA-MF-4N-SS-D-,-,1.1-2.5 бар,"NPT 1/4"" наруж.","NPT 1/4"" внутр.",
,VRCDA-MF-4N-SS-E-,-,2.4-5.2 бар,"NPT 1/4"" наруж.","NPT 1/4"" внутр.",
,VRCDA-MF-4N-SS-G-,-,8.6-10.4 бар,"NPT 1/4"" наруж.","NPT 1/4"" внутр.",
,VRCDA-MF-4N-SS-H-,-,10.4-24 бар,"NPT 1/4"" наруж.","NPT 1/4"" внутр.",
,VRCDA-MF-4N-SS-I-,-,24-48 бар,"NPT 1/4"" наруж.","NPT 1/4"" внутр.",
,VRCDA-MF-4N-TF-SS-H-,-,10.4-24 бар,"NPT 1/4"" наруж.","NPT 1/4"" внутр.",
,VRCDA-MF-4N-TF-SS-I-,-,24-48 бар,"NPT 1/4"" наруж.","NPT 1/4"" внутр.",
,VRCDA-MF-4N-BR-D-,-,1.1-2.5 бар,"NPT 1/4"" наруж.","NPT 1/4"" внутр.",
,VRCDA-MF-4N-BR-E-,-,2.4-5.2 бар,"NPT 1/4"" наруж.","NPT 1/4"" внутр.",
,VRCDA-MF-4N-BR-G-,-,8.6-10.4 бар,"NPT 1/4"" наруж.","NPT 1/4"" внутр.",
,VRCDA-MF-4N-BR-H-,-,10.4-24 бар,"NPT 1/4"" наруж.","NPT 1/4"" внутр.",
,VRCDA-MF-4N-BR-I-,-,24-48 бар,"NPT 1/4"" наруж.","NPT 1/4"" внутр.",
,VRCDA-MF-4N-TF-BR-H-,-,10.4-24 бар,"NPT 1/4"" наруж.","NPT 1/4"" внутр.",
,VRCDA-MF-4N-TF-BR-I-,-,24-48 бар,"NPT 1/4"" наруж.","NPT 1/4"" внутр.",
