#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Давление,Параметр:Заказной код:Cv,Параметр:Заказной код:Ду,Условное обозначение:Заказной код:Подсоединение,Параметр:Заказной код:Температура минимальная,Параметр:Заказной код:Температура максимальная,Параметр:Заказной код:Материал уплотнения сальника,Параметр:Заказной код:Форма корпуса,Параметр:Заказной код:Тип иглы
,SV2-H-12M-PK,Hy-Lok 12mm,414 бар,"0,73","6,3",Hy-Lok 12mm,-54°С,232°С,PEEK,Проходной<br><img src=assets/images/SV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,SV1-H-4T-PK,Hy-Lok 1/4,414 бар,"0,37","4,3",Hy-Lok 1/4,-54°С,232°С,PEEK,Проходной<br><img src=assets/images/SV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,SV2-H-6T-PK,Hy-Lok 3/8,414 бар,"0,73","6,3",Hy-Lok 3/8,-54°С,232°С,PEEK,Проходной<br><img src=assets/images/SV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,SV2-H-8T-PK,Hy-Lok 1/2,414 бар,"0,73","6,3",Hy-Lok 1/2,-54°С,232°С,PEEK,Проходной<br><img src=assets/images/SV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,SV1-F-4N-PK,NPT 1/4,414 бар,"0,37","4,3",NPT 1/4 внутр.,-54°С,232°С,PEEK,Проходной<br><img src=assets/images/SV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,SV1-F-4R-PK,RT 1/4,414 бар,"0,37","4,3",RT 1/4 внутр.,-54°С,232°С,PEEK,Проходной<br><img src=assets/images/SV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,SV2-F-6N-PK,NPT 3/8,414 бар,"0,73","6,3",NPT 3/8 внутр.,-54°С,232°С,PEEK,Проходной<br><img src=assets/images/SV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,SV2-F-6R-PK,RT 3/8,414 бар,"0,73","6,3",RT 3/8 внутр.,-54°С,232°С,PEEK,Проходной<br><img src=assets/images/SV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,SV2-F-8N-PK,NPT 1/2,414 бар,"0,73","6,3",NPT 1/2 внутр.,-54°С,232°С,PEEK,Проходной<br><img src=assets/images/SV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,SV2-F-8R-PK,RT 1/2,414 бар,"0,73","6,3",RT 1/2 внутр.,-54°С,232°С,PEEK,Проходной<br><img src=assets/images/SV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,SV1-M-4N-PK,NPT 1/4,414 бар,"0,37","4,3",NPT 1/4 наруж.,-54°С,232°С,PEEK,Проходной<br><img src=assets/images/SV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,SV1-M-4R-PK,RT 1/4,414 бар,"0,37","4,3",RT 1/4 наруж.,-54°С,232°С,PEEK,Проходной<br><img src=assets/images/SV_H_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,SV1-H-A-6M-PK,Hy-Lok 6mm,414 бар,"0,37","4,3",Hy-Lok 6mm,-54°С,232°С,PEEK,Угловой<br><img src=assets/images/SV_HA_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,SV2-H-A-10M-PK,Hy-Lok 10mm,414 бар,"0,73","6,3",Hy-Lok 10mm,-54°С,232°С,PEEK,Угловой<br><img src=assets/images/SV_HA_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,SV2-H-A-12M-PK,Hy-Lok 12mm,414 бар,"0,73","6,3",Hy-Lok 12mm,-54°С,232°С,PEEK,Угловой<br><img src=assets/images/SV_HA_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,SV1-H-A-4T-PK,Hy-Lok 1/4,414 бар,"0,37","4,3",Hy-Lok 1/4,-54°С,232°С,PEEK,Угловой<br><img src=assets/images/SV_HA_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,SV2-H-A-6T-PK,Hy-Lok 3/8,414 бар,"0,73","6,3",Hy-Lok 3/8,-54°С,232°С,PEEK,Угловой<br><img src=assets/images/SV_HA_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,SV2-H-A-8T-PK,Hy-Lok 1/2,414 бар,"0,73","6,3",Hy-Lok 1/2,-54°С,232°С,PEEK,Угловой<br><img src=assets/images/SV_HA_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,SV1-F-A-4N-PK,NPT 1/4,414 бар,"0,37","4,3",NPT 1/4 внутр.,-54°С,232°С,PEEK,Угловой<br><img src=assets/images/SV_HA_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
