#,Заказной код,Параметр:Заказной код:Вход,Параметр:Заказной код:Давление,Параметр:Заказной код:Cv,Параметр:Заказной код:Выход,Параметр:Заказной код:Ду (мм),Параметр:Заказной код:Материал уплотнения,Параметр:Заказной код:Температура минимальная,Параметр:Заказной код:Температура максимальная,Параметр:Заказной код:Материал
,93610A1331,G 1,"от 0,3 до 28бар","4,3",G 1,10мм,Нитрил,-196°C,250°C,Латунь
,93610A1333,G 1,"от 0,3 до 28бар","4,3",G 1,10мм,Витон,-196°C,250°C,Латунь
,93610A1341,RT 1,"от 0,3 до 28бар","4,3",G 1,10мм,Нитрил,-196°C,250°C,Латунь
,93610A1343,RT 1,"от 0,3 до 28бар","4,3",G 1,10мм,Витон,-196°C,250°C,Латунь
,93610A1351,NPT 1,"от 0,3 до 28бар","4,3",G 1,10мм,Нитрил,-196°C,250°C,Латунь
,93610A1353,NPT 1,"от 0,3 до 28бар","4,3",G 1,10мм,Витон,-196°C,250°C,Латунь
,93610C1301,G 3/4,"от 0,3 до 28бар","4,3",NPT 1,10мм,Нитрил,-196°C,250°C,Латунь
,93610C1303,G 3/4,"от 0,3 до 28бар","4,3",NPT 1,10мм,Витон,-196°C,250°C,Латунь
,93610C1311,RT 3/4,"от 0,3 до 28бар","4,3",NPT 1,10мм,Нитрил,-196°C,250°C,Латунь
,93610C1313,RT 3/4,"от 0,3 до 28бар","4,3",NPT 1,10мм,Витон,-196°C,250°C,Латунь
,93610C1321,NPT 3/4,"от 0,3 до 28бар","4,3",NPT 1,10мм,Нитрил,-196°C,250°C,Латунь
,93610C1323,NPT 3/4,"от 0,3 до 28бар","4,3",NPT 1,10мм,Витон,-196°C,250°C,Латунь
,93610C1331,G 1,"от 0,3 до 28бар","4,3",NPT 1,10мм,Нитрил,-196°C,250°C,Латунь
,93610C1333,G 1,"от 0,3 до 28бар","4,3",NPT 1,10мм,Витон,-196°C,250°C,Латунь
,93610C1341,RT 1,"от 0,3 до 28бар","4,3",NPT 1,10мм,Нитрил,-196°C,250°C,Латунь
,93610C1343,RT 1,"от 0,3 до 28бар","4,3",NPT 1,10мм,Витон,-196°C,250°C,Латунь
,93610C1351,NPT 1,"от 0,3 до 28бар","4,3",NPT 1,10мм,Нитрил,-196°C,250°C,Латунь
,93610C1353,NPT 1,"от 0,3 до 28бар","4,3",NPT 1,10мм,Витон,-196°C,250°C,Латунь
,94615A1301,G 3/4,"от 0,3 до 28бар","8,5",G 1 1/2,15мм,Нитрил,-196°C,250°C,Нерж.сталь
,94615A1303,G 3/4,"от 0,3 до 28бар","8,5",G 1 1/2,15мм,Витон,-196°C,250°C,Нерж.сталь
,94615A1311,RT 3/4,"от 0,3 до 28бар","8,5",G 1 1/2,15мм,Нитрил,-196°C,250°C,Нерж.сталь
,94615A1313,RT 3/4,"от 0,3 до 28бар","8,5",G 1 1/2,15мм,Витон,-196°C,250°C,Нерж.сталь
,94615A1321,NPT 3/4,"от 0,3 до 28бар","8,5",G 1 1/2,15мм,Нитрил,-196°C,250°C,Нерж.сталь
,94615A1323,NPT 3/4,"от 0,3 до 28бар","8,5",G 1 1/2,15мм,Витон,-196°C,250°C,Нерж.сталь
,94615A1331,G 1,"от 0,3 до 28бар","8,5",G 1 1/2,15мм,Нитрил,-196°C,250°C,Нерж.сталь
,94615A1333,G 1,"от 0,3 до 28бар","8,5",G 1 1/2,15мм,Витон,-196°C,250°C,Нерж.сталь
,94615A1341,RT 1,"от 0,3 до 28бар","8,5",G 1 1/2,15мм,Нитрил,-196°C,250°C,Нерж.сталь
,94615A1343,RT 1,"от 0,3 до 28бар","8,5",G 1 1/2,15мм,Витон,-196°C,250°C,Нерж.сталь
,94615A1351,NPT 1,"от 0,3 до 28бар","8,5",G 1 1/2,15мм,Нитрил,-196°C,250°C,Нерж.сталь
,94615A1353,NPT 1,"от 0,3 до 28бар","8,5",G 1 1/2,15мм,Витон,-196°C,250°C,Нерж.сталь
,94615A1361,G 1 1/4,"от 0,3 до 28бар","8,5",G 1 1/2,15мм,Нитрил,-196°C,250°C,Нерж.сталь
,94615A1363,G 1 1/4,"от 0,3 до 28бар","8,5",G 1 1/2,15мм,Витон,-196°C,250°C,Нерж.сталь
,94615A1371,RT 1 1/4,"от 0,3 до 28бар","8,5",G 1 1/2,15мм,Нитрил,-196°C,250°C,Нерж.сталь
,94615A1373,RT 1 1/4,"от 0,3 до 28бар","8,5",G 1 1/2,15мм,Витон,-196°C,250°C,Нерж.сталь
,94615A1381,NPT 1 1/4,"от 0,3 до 28бар","8,5",G 1 1/2,15мм,Нитрил,-196°C,250°C,Нерж.сталь
,94615A1383,NPT 1 1/4,"от 0,3 до 28бар","8,5",G 1 1/2,15мм,Витон,-196°C,250°C,Нерж.сталь
,94615A1391,G 1 1/2,"от 0,3 до 28бар","8,5",G 1 1/2,15мм,Нитрил,-196°C,250°C,Нерж.сталь
,94615A1393,G 1 1/2,"от 0,3 до 28бар","8,5",G 1 1/2,15мм,Витон,-196°C,250°C,Нерж.сталь
,94615C1301,G 3/4,"от 0,3 до 28бар","8,5",NPT 1 1/2,15мм,Нитрил,-196°C,250°C,Нерж.сталь
,94615C1303,G 3/4,"от 0,3 до 28бар","8,5",NPT 1 1/2,15мм,Витон,-196°C,250°C,Нерж.сталь
,94615C1311,RT 3/4,"от 0,3 до 28бар","8,5",NPT 1 1/2,15мм,Нитрил,-196°C,250°C,Нерж.сталь
,94615C1313,RT 3/4,"от 0,3 до 28бар","8,5",NPT 1 1/2,15мм,Витон,-196°C,250°C,Нерж.сталь
,94615C1321,NPT 3/4,"от 0,3 до 28бар","8,5",NPT 1 1/2,15мм,Нитрил,-196°C,250°C,Нерж.сталь
,94615C1323,NPT 3/4,"от 0,3 до 28бар","8,5",NPT 1 1/2,15мм,Витон,-196°C,250°C,Нерж.сталь
,94615C1331,G 1,"от 0,3 до 28бар","8,5",NPT 1 1/2,15мм,Нитрил,-196°C,250°C,Нерж.сталь
,94615C1333,G 1,"от 0,3 до 28бар","8,5",NPT 1 1/2,15мм,Витон,-196°C,250°C,Нерж.сталь
,94615C1341,RT 1,"от 0,3 до 28бар","8,5",NPT 1 1/2,15мм,Нитрил,-196°C,250°C,Нерж.сталь
