#,Заказной код,Параметр:Заказной код:Расход,Параметр:Заказной код:Блок питания,Параметр:Заказной код:Корпус,Параметр:Заказной код:Дисплей,Параметр:Заказной код:Выходной сигнал,Параметр:Заказной код:Управление
,TLFC-03-A-1-0-1-A-1-1,0-100 нсм³/мин,Есть,SS316,Без дисплея,0~5 VDC,Ручное
,TLFC-03-A-1-0-1-A-1-2,0-100 нсм³/мин,Нет,SS316,Без дисплея,0~5 VDC,Ручное
,TLFC-03-A-1-0-1-B-1-1,0-100 нсм³/мин,Есть,SS316,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-03-A-1-0-1-B-1-2,0-100 нсм³/мин,Нет,SS316,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-03-A-1-0-2-A-1-1,0-100 нсм³/мин,Есть,SS316,Без дисплея,4~20 мА,Ручное
,TLFC-03-A-1-0-2-A-1-2,0-100 нсм³/мин,Нет,SS316,Без дисплея,4~20 мА,Ручное
,TLFC-03-A-1-0-2-B-1-1,0-100 нсм³/мин,Есть,SS316,Без дисплея,4~20 мА,0~5 VDC
,TLFC-03-A-1-0-2-B-1-2,0-100 нсм³/мин,Нет,SS316,Без дисплея,4~20 мА,0~5 VDC
,TLFC-03-T-1-0-1-A-1-1,0-100 нсм³/мин,Есть,Тапкон,Без дисплея,0~5 VDC,Ручное
,TLFC-03-T-1-0-1-A-1-2,0-100 нсм³/мин,Нет,Тапкон,Без дисплея,0~5 VDC,Ручное
,TLFC-03-T-1-0-1-B-1-1,0-100 нсм³/мин,Есть,Тапкон,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-03-T-1-0-1-B-1-2,0-100 нсм³/мин,Нет,Тапкон,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-03-T-1-0-2-A-1-1,0-100 нсм³/мин,Есть,Тапкон,Без дисплея,4~20 мА,Ручное
,TLFC-03-T-1-0-2-A-1-2,0-100 нсм³/мин,Нет,Тапкон,Без дисплея,4~20 мА,Ручное
,TLFC-03-T-1-0-2-B-1-1,0-100 нсм³/мин,Есть,Тапкон,Без дисплея,4~20 мА,0~5 VDC
,TLFC-03-T-1-0-2-B-1-2,0-100 нсм³/мин,Нет,Тапкон,Без дисплея,4~20 мА,0~5 VDC
,TLFC-04-A-1-0-1-A-1-1,0-200 нсм³/мин,Есть,SS316,Без дисплея,0~5 VDC,Ручное
,TLFC-04-A-1-0-1-A-1-2,0-200 нсм³/мин,Нет,SS316,Без дисплея,0~5 VDC,Ручное
,TLFC-04-A-1-0-1-B-1-1,0-200 нсм³/мин,Есть,SS316,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-04-A-1-0-1-B-1-2,0-200 нсм³/мин,Нет,SS316,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-04-A-1-0-2-A-1-1,0-200 нсм³/мин,Есть,SS316,Без дисплея,4~20 мА,Ручное
,TLFC-04-A-1-0-2-A-1-2,0-200 нсм³/мин,Нет,SS316,Без дисплея,4~20 мА,Ручное
,TLFC-04-A-1-0-2-B-1-1,0-200 нсм³/мин,Есть,SS316,Без дисплея,4~20 мА,0~5 VDC
,TLFC-04-A-1-0-2-B-1-2,0-200 нсм³/мин,Нет,SS316,Без дисплея,4~20 мА,0~5 VDC
,TLFC-04-T-1-0-1-A-1-1,0-200 нсм³/мин,Есть,Тапкон,Без дисплея,0~5 VDC,Ручное
,TLFC-04-T-1-0-1-A-1-2,0-200 нсм³/мин,Нет,Тапкон,Без дисплея,0~5 VDC,Ручное
,TLFC-04-T-1-0-1-B-1-1,0-200 нсм³/мин,Есть,Тапкон,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-04-T-1-0-1-B-1-2,0-200 нсм³/мин,Нет,Тапкон,Без дисплея,0~5 VDC,0~5 VDC
,TLFC-04-T-1-0-2-A-1-1,0-200 нсм³/мин,Есть,Тапкон,Без дисплея,4~20 мА,Ручное
,TLFC-04-T-1-0-2-A-1-2,0-200 нсм³/мин,Нет,Тапкон,Без дисплея,4~20 мА,Ручное
,TLFC-04-T-1-0-2-B-1-1,0-200 нсм³/мин,Есть,Тапкон,Без дисплея,4~20 мА,0~5 VDC
,TLFC-04-T-1-0-2-B-1-2,0-200 нсм³/мин,Нет,Тапкон,Без дисплея,4~20 мА,0~5 VDC
,TLFC-05-A-1-0-1-A-1-1,0-500 нсм³/мин,Есть,SS316,Без дисплея,0~5 VDC,Ручное
,TLFC-05-A-1-0-1-A-1-2,0-500 нсм³/мин,Нет,SS316,Без дисплея,0~5 VDC,Ручное
