#,Заказной код,Параметр:Заказной код:Расход,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Контакты
,VF300-A1(1)-0-PSU-1-B-BT,5-50 л/час,"NPT 1/2""",без контактов
,VF300-A1(2)-0-PSU-1-B-BT,6-60 л/час,"NPT 1/2""",без контактов
,VF300-A1(3)-0-PSU-1-B-BT,12-120 л/час,"NPT 1/2""",без контактов
,VF300-A1(4)-0-PSU-1-B-BT,20-200 л/час,"NPT 1/2""",без контактов
,VF300-A1(5)-0-PSU-1-B-BT,30-300 л/час,"NPT 1/2""",без контактов
,VF300-A1(6)-0-PSU-1-B-BT,60-600 л/час,"NPT 1/2""",без контактов
,VF300-A2(7)-0-PSU-1-B-BT,"0,1-1 л/мин","NPT 1/2""",без контактов
,VF300-A2(8)-0-PSU-1-B-BT,"0,2-2 л/мин","NPT 1/2""",без контактов
,VF300-A2(9)-0-PSU-1-B-BT,"0,3-3 л/мин","NPT 1/2""",без контактов
,VF300-A2(10)-0-PSU-1-B-BT,"0,5-5 л/мин","NPT 1/2""",без контактов
,VF300-A2(11)-0-PSU-1-B-BT,1-10 л/мин,"NPT 1/2""",без контактов
,VF300-A1(1)-1R-PSU-1-B-BT,5-50 л/час,"NPT 1/2""",один контакт
,VF300-A1(2)-1R-PSU-1-B-BT,6-60 л/час,"NPT 1/2""",один контакт
,VF300-A1(3)-1R-PSU-1-B-BT,12-120 л/час,"NPT 1/2""",один контакт
,VF300-A1(4)-1R-PSU-1-B-BT,20-200 л/час,"NPT 1/2""",один контакт
,VF300-A1(5)-1R-PSU-1-B-BT,30-300 л/час,"NPT 1/2""",один контакт
,VF300-A1(6)-1R-PSU-1-B-BT,60-600 л/час,"NPT 1/2""",один контакт
,VF300-A2(7)-1R-PSU-1-B-BT,"0,1-1 л/мин","NPT 1/2""",один контакт
,VF300-A2(8)-1R-PSU-1-B-BT,"0,2-2 л/мин","NPT 1/2""",один контакт
,VF300-A2(9)-1R-PSU-1-B-BT,"0,3-3 л/мин","NPT 1/2""",один контакт
,VF300-A2(10)-1R-PSU-1-B-BT,"0,5-5 л/мин","NPT 1/2""",один контакт
,VF300-A2(11)-1R-PSU-1-B-BT,1-10 л/мин,"NPT 1/2""",один контакт
