#,Заказной код,Параметр:Заказной код:Расход,Параметр:Заказной код:Подсоединение
,FBC-N-S-W-50-C,5-50 см³/мин,"NPT 1/8"""
,FBC-N-S-W-100-C,10-100 см³/мин,"NPT 1/8"""
,FBC-N-S-W-250-C,25-250 см³/мин,"NPT 1/8"""
,FBC-N-S-W-1000-C,100-1000 см³/мин,"NPT 1/8"""
,FBC-N-S-W-1-LH,0.1-1 л/час,"NPT 1/8"""
,FBC-N-S-W-5-LH,0.5-5 л/час,"NPT 1/8"""
,FBC-N-S-W-15-LH,1.5-15 л/час,"NPT 1/8"""
,FBC-N-S-W-30-LH,3-30 л/час,"NPT 1/8"""
,FBC-N-S-W-60-LH,6-60 л/час,"NPT 1/8"""
,FBC-N-S-W-100-LH,10-100 л/час,"NPT 1/8"""
