#,Заказной код,Параметр:Заказной код:Расход,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Контакты
,SF300-A-0-PSU-1-B-BT,"0,4-4 л/мин","FNPT 1/2""",Без контактов
,SF300-B-0-PSU-1-B-BT,2-10 л/мин,"FNPT 1/2""",Без контактов
,SF300-C-0-PSU-1-B-BT,2-20 л/мин,"FNPT 1/2""",Без контактов
,SF300-D-0-PSU-1-B-BT,3-30 л/мин,"FNPT 1/2""",Без контактов
,SF300-E-0-PSU-1-B-BT,4-40 л/мин,"FNPT 1/2""",Без контактов
,SF300-F-0-PSU-1-B-BT,5-50 л/мин,"FNPT 1/2""",Без контактов
,SF300-G-0-PSU-1-B-BT,6-60 л/мин,"FNPT 1/2""",Без контактов
,SF300-A-1R-PSU-1-B-BT,"0,4-4 л/мин","FNPT 1/2""",один контакт
,SF300-B-1R-PSU-1-B-BT,2-10 л/мин,"FNPT 1/2""",один контакт
,SF300-C-1R-PSU-1-B-BT,2-20 л/мин,"FNPT 1/2""",один контакт
,SF300-D-1R-PSU-1-B-BT,3-30 л/мин,"FNPT 1/2""",один контакт
,SF300-E-1R-PSU-1-B-BT,4-40 л/мин,"FNPT 1/2""",один контакт
,SF300-F-1R-PSU-1-B-BT,5-50 л/мин,"FNPT 1/2""",один контакт
,SF300-G-1R-PSU-1-B-BT,6-60 л/мин,"FNPT 1/2""",один контакт
,SF300-A-2R-PSU-1-B-BT,"0,4-4 л/мин","FNPT 1/2""",Два контакта
,SF300-B-2R-PSU-1-B-BT,2-10 л/мин,"FNPT 1/2""",Два контакта
,SF300-C-2R-PSU-1-B-BT,2-20 л/мин,"FNPT 1/2""",Два контакта
,SF300-D-2R-PSU-1-B-BT,3-30 л/мин,"FNPT 1/2""",Два контакта
,SF300-E-2R-PSU-1-B-BT,4-40 л/мин,"FNPT 1/2""",Два контакта
,SF300-F-2R-PSU-1-B-BT,5-50 л/мин,"FNPT 1/2""",Два контакта
,SF300-G-2R-PSU-1-B-BT,6-60 л/мин,"FNPT 1/2""",Два контакта
,SF300-A-0-PSU-1-B-TB,"0,4-4 л/мин","FNPT 1/2""",Без контактов
,SF300-B-0-PSU-1-B-TB,2-10 л/мин,"FNPT 1/2""",Без контактов
,SF300-C-0-PSU-1-B-TB,2-20 л/мин,"FNPT 1/2""",Без контактов
,SF300-D-0-PSU-1-B-TB,3-30 л/мин,"FNPT 1/2""",Без контактов
,SF300-E-0-PSU-1-B-TB,4-40 л/мин,"FNPT 1/2""",Без контактов
,SF300-F-0-PSU-1-B-TB,5-50 л/мин,"FNPT 1/2""",Без контактов
,SF300-G-0-PSU-1-B-TB,6-60 л/мин,"FNPT 1/2""",Без контактов
,SF300-A-1R-PSU-1-B-TB,"0,4-4 л/мин","FNPT 1/2""",один контакт
,SF300-B-1R-PSU-1-B-TB,2-10 л/мин,"FNPT 1/2""",один контакт
,SF300-C-1R-PSU-1-B-TB,2-20 л/мин,"FNPT 1/2""",один контакт
,SF300-D-1R-PSU-1-B-TB,3-30 л/мин,"FNPT 1/2""",один контакт
,SF300-E-1R-PSU-1-B-TB,4-40 л/мин,"FNPT 1/2""",один контакт
,SF300-F-1R-PSU-1-B-TB,5-50 л/мин,"FNPT 1/2""",один контакт
,SF300-G-1R-PSU-1-B-TB,6-60 л/мин,"FNPT 1/2""",один контакт
,SF300-A-2R-PSU-1-B-TB,"0,4-4 л/мин","FNPT 1/2""",Два контакта
,SF300-B-2R-PSU-1-B-TB,2-10 л/мин,"FNPT 1/2""",Два контакта
,SF300-C-2R-PSU-1-B-TB,2-20 л/мин,"FNPT 1/2""",Два контакта
,SF300-D-2R-PSU-1-B-TB,3-30 л/мин,"FNPT 1/2""",Два контакта
,SF300-E-2R-PSU-1-B-TB,4-40 л/мин,"FNPT 1/2""",Два контакта
,SF300-F-2R-PSU-1-B-TB,5-50 л/мин,"FNPT 1/2""",Два контакта
,SF300-G-2R-PSU-1-B-TB,6-60 л/мин,"FNPT 1/2""",Два контакта
,SF300-A-0-PSU-1-B-RL,"0,4-4 л/мин","FNPT 1/2""",Без контактов
,SF300-B-0-PSU-1-B-RL,2-10 л/мин,"FNPT 1/2""",Без контактов
,SF300-C-0-PSU-1-B-RL,2-20 л/мин,"FNPT 1/2""",Без контактов
,SF300-D-0-PSU-1-B-RL,3-30 л/мин,"FNPT 1/2""",Без контактов
,SF300-E-0-PSU-1-B-RL,4-40 л/мин,"FNPT 1/2""",Без контактов
,SF300-F-0-PSU-1-B-RL,5-50 л/мин,"FNPT 1/2""",Без контактов
,SF300-G-0-PSU-1-B-RL,6-60 л/мин,"FNPT 1/2""",Без контактов
,SF300-A-1R-PSU-1-B-RL,"0,4-4 л/мин","FNPT 1/2""",один контакт
,SF300-B-1R-PSU-1-B-RL,2-10 л/мин,"FNPT 1/2""",один контакт
,SF300-C-1R-PSU-1-B-RL,2-20 л/мин,"FNPT 1/2""",один контакт
,SF300-D-1R-PSU-1-B-RL,3-30 л/мин,"FNPT 1/2""",один контакт
,SF300-E-1R-PSU-1-B-RL,4-40 л/мин,"FNPT 1/2""",один контакт
,SF300-F-1R-PSU-1-B-RL,5-50 л/мин,"FNPT 1/2""",один контакт
,SF300-G-1R-PSU-1-B-RL,6-60 л/мин,"FNPT 1/2""",один контакт
,SF300-A-2R-PSU-1-B-RL,"0,4-4 л/мин","FNPT 1/2""",Два контакта
