code;image_path
G69-S-20M-100D-0,2bar-MA;assets/inventory/G69.png
G69-A-20M-100D-0,5bar-1M;assets/inventory/G69.png
G69-A-20M-100D-0,5bar-2M;assets/inventory/G69.png
G69-A-20M-100D-0,5bar-MA;assets/inventory/G69.png
G69-S-20M-100D-0,5bar-1M;assets/inventory/G69.png
G69-S-20M-100D-0,5bar-2M;assets/inventory/G69.png
G69-S-20M-100D-0,5bar-MA;assets/inventory/G69.png
G69-A-20M-100D-0,6bar-1M;assets/inventory/G69.png
G69-A-20M-100D-0,6bar-2M;assets/inventory/G69.png
G69-A-20M-100D-0,6bar-MA;assets/inventory/G69.png
G69-S-20M-100D-0,6bar-1M;assets/inventory/G69.png
G69-S-20M-100D-0,6bar-2M;assets/inventory/G69.png
G69-S-20M-100D-0,6bar-MA;assets/inventory/G69.png
G69-A-20M-100D-0,8bar-1M;assets/inventory/G69.png
G69-A-20M-100D-0,8bar-2M;assets/inventory/G69.png
G69-A-20M-100D-0,8bar-MA;assets/inventory/G69.png
G69-S-20M-100D-0,8bar-1M;assets/inventory/G69.png
G69-S-20M-100D-0,8bar-2M;assets/inventory/G69.png
G69-S-20M-100D-0,8bar-MA;assets/inventory/G69.png
G69-A-20M-100D-1,2bar-1M;assets/inventory/G69.png
G69-A-20M-100D-1,2bar-2M;assets/inventory/G69.png
G69-A-20M-100D-1,2bar-MA;assets/inventory/G69.png
G69-S-20M-100D-1,2bar-1M;assets/inventory/G69.png
G69-S-20M-100D-1,2bar-2M;assets/inventory/G69.png
G69-S-20M-100D-1,2bar-MA;assets/inventory/G69.png
G69-A-20M-100D-2bar-1M;assets/inventory/G69.png
G69-A-20M-100D-2bar-2M;assets/inventory/G69.png
G69-A-20M-100D-2bar-MA;assets/inventory/G69.png
G69-S-20M-100D-2bar-1M;assets/inventory/G69.png
G69-S-20M-100D-2bar-2M;assets/inventory/G69.png
G69-S-20M-100D-2bar-MA;assets/inventory/G69.png
G69-A-20M-100D-2,5bar-1M;assets/inventory/G69.png
G69-A-20M-100D-2,5bar-2M;assets/inventory/G69.png
G69-A-20M-100D-2,5bar-MA;assets/inventory/G69.png
G69-S-20M-100D-2,5bar-1M;assets/inventory/G69.png
G69-S-20M-100D-2,5bar-2M;assets/inventory/G69.png
G69-S-20M-100D-2,5bar-MA;assets/inventory/G69.png
G69-A-20M-100D-4bar-1M;assets/inventory/G69.png
G69-A-20M-100D-4bar-2M;assets/inventory/G69.png
G69-A-20M-100D-4bar-MA;assets/inventory/G69.png
G69-S-20M-100D-4bar-1M;assets/inventory/G69.png
G69-S-20M-100D-4bar-2M;assets/inventory/G69.png
G69-S-20M-100D-4bar-MA;assets/inventory/G69.png
