#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Входное давление,Параметр:Заказной код:Cv,Параметр:Заказной код:Количество портов,Параметр:Заказной код:Материал,Параметр:Заказной код:Выходное давление,Параметр:Заказной код:Сбросной перепускной клапан,Параметр:Заказной код:Конфигурация порта
,DR80-A-S-250-A-1-O,NPT 1/4,420 бар,0.2,2 порта,Нержавеющая сталь 316L,250 бар,нет,<img src='assets/images/ports/Af_filter.jpg'/>
,DR80-A-S-250-C-1-S,NPT 1/4,420 бар,0.06,4 порта,Нержавеющая сталь 316L,250 бар,нет,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-A-S-250-C-1-O,NPT 1/4,420 бар,0.2,4 порта,Нержавеющая сталь 316L,250 бар,нет,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-A-S-250-M-1-S,NPT 1/4,420 бар,0.06,4 порта,Нержавеющая сталь 316L,250 бар,нет,<img src='assets/images/ports/Mf_filter.jpg'/>
,DR80-A-S-250-M-1-O,NPT 1/4,420 бар,0.2,4 порта,Нержавеющая сталь 316L,250 бар,нет,<img src='assets/images/ports/Mf_filter.jpg'/>
,DR80-A-S-350-A-1-S,NPT 1/4,420 бар,0.06,2 порта,Нержавеющая сталь 316L,350 бар,нет,<img src='assets/images/ports/Af_filter.jpg'/>
,DR80-A-S-350-A-1-O,NPT 1/4,420 бар,0.2,2 порта,Нержавеющая сталь 316L,350 бар,нет,<img src='assets/images/ports/Af_filter.jpg'/>
,DR80-A-S-350-C-1-S,NPT 1/4,420 бар,0.06,4 порта,Нержавеющая сталь 316L,350 бар,нет,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-A-S-350-C-1-O,NPT 1/4,420 бар,0.2,4 порта,Нержавеющая сталь 316L,350 бар,нет,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-A-S-350-M-1-S,NPT 1/4,420 бар,0.06,4 порта,Нержавеющая сталь 316L,350 бар,нет,<img src='assets/images/ports/Mf_filter.jpg'/>
,DR80-A-S-350-M-1-O,NPT 1/4,420 бар,0.2,4 порта,Нержавеющая сталь 316L,350 бар,нет,<img src='assets/images/ports/Mf_filter.jpg'/>
,DR80-A-S-500-A-1-S,NPT 1/4,420 бар,0.06,2 порта,Нержавеющая сталь 316L,420 бар,нет,<img src='assets/images/ports/Af_filter.jpg'/>
,DR80-A-S-500-A-1-O,NPT 1/4,420 бар,0.2,2 порта,Нержавеющая сталь 316L,420 бар,нет,<img src='assets/images/ports/Af_filter.jpg'/>
,DR80-A-S-500-C-1-S,NPT 1/4,420 бар,0.06,4 порта,Нержавеющая сталь 316L,420 бар,нет,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-A-S-500-C-1-O,NPT 1/4,420 бар,0.2,4 порта,Нержавеющая сталь 316L,420 бар,нет,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-A-S-500-M-1-S,NPT 1/4,420 бар,0.06,4 порта,Нержавеющая сталь 316L,420 бар,нет,<img src='assets/images/ports/Mf_filter.jpg'/>
,DR80-A-S-500-M-1-O,NPT 1/4,420 бар,0.2,4 порта,Нержавеющая сталь 316L,420 бар,нет,<img src='assets/images/ports/Mf_filter.jpg'/>
,DR80-A-S-700-A-1-S,NPT 1/4,420 бар,0.06,2 порта,Нержавеющая сталь 316L,420 бар,нет,<img src='assets/images/ports/Af_filter.jpg'/>
,DR80-A-S-700-A-1-O,NPT 1/4,420 бар,0.2,2 порта,Нержавеющая сталь 316L,420 бар,нет,<img src='assets/images/ports/Af_filter.jpg'/>
,DR80-A-S-700-C-1-S,NPT 1/4,420 бар,0.06,4 порта,Нержавеющая сталь 316L,420 бар,нет,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-A-S-700-C-1-O,NPT 1/4,420 бар,0.2,4 порта,Нержавеющая сталь 316L,420 бар,нет,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-A-S-700-M-1-S,NPT 1/4,420 бар,0.06,4 порта,Нержавеющая сталь 316L,420 бар,нет,<img src='assets/images/ports/Mf_filter.jpg'/>
,DR80-A-S-700-M-1-O,NPT 1/4,420 бар,0.2,4 порта,Нержавеющая сталь 316L,420 бар,нет,<img src='assets/images/ports/Mf_filter.jpg'/>
,DR80-B-S-070-A-1-S,NPT 1/4,700 бар,0.06,2 порта,Нержавеющая сталь 316L,70 бар,нет,<img src='assets/images/ports/Af_filter.jpg'/>
,DR80-B-S-070-A-1-O,NPT 1/4,700 бар,0.2,2 порта,Нержавеющая сталь 316L,70 бар,нет,<img src='assets/images/ports/Af_filter.jpg'/>
,DR80-B-S-070-C-1-S,NPT 1/4,700 бар,0.06,4 порта,Нержавеющая сталь 316L,70 бар,нет,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-B-S-070-C-1-O,NPT 1/4,700 бар,0.2,4 порта,Нержавеющая сталь 316L,70 бар,нет,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-B-S-070-M-1-S,NPT 1/4,700 бар,0.06,4 порта,Нержавеющая сталь 316L,70 бар,нет,<img src='assets/images/ports/Mf_filter.jpg'/>
,DR80-B-S-070-M-1-O,NPT 1/4,700 бар,0.2,4 порта,Нержавеющая сталь 316L,70 бар,нет,<img src='assets/images/ports/Mf_filter.jpg'/>
,DR80-B-S-150-A-1-S,NPT 1/4,700 бар,0.06,2 порта,Нержавеющая сталь 316L,150 бар,нет,<img src='assets/images/ports/Af_filter.jpg'/>
,DR80-B-S-150-A-1-O,NPT 1/4,700 бар,0.2,2 порта,Нержавеющая сталь 316L,150 бар,нет,<img src='assets/images/ports/Af_filter.jpg'/>
,DR80-B-S-150-C-1-S,NPT 1/4,700 бар,0.06,4 порта,Нержавеющая сталь 316L,150 бар,нет,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-B-S-150-C-1-O,NPT 1/4,700 бар,0.2,4 порта,Нержавеющая сталь 316L,150 бар,нет,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-B-S-150-M-1-S,NPT 1/4,700 бар,0.06,4 порта,Нержавеющая сталь 316L,150 бар,нет,<img src='assets/images/ports/Mf_filter.jpg'/>
,DR80-B-S-150-M-1-O,NPT 1/4,700 бар,0.2,4 порта,Нержавеющая сталь 316L,150 бар,нет,<img src='assets/images/ports/Mf_filter.jpg'/>
,DR80-B-S-250-A-1-S,NPT 1/4,700 бар,0.06,2 порта,Нержавеющая сталь 316L,250 бар,нет,<img src='assets/images/ports/Af_filter.jpg'/>
,DR80-B-S-250-A-1-O,NPT 1/4,700 бар,0.2,2 порта,Нержавеющая сталь 316L,250 бар,нет,<img src='assets/images/ports/Af_filter.jpg'/>
,DR80-B-S-250-C-1-S,NPT 1/4,700 бар,0.06,4 порта,Нержавеющая сталь 316L,250 бар,нет,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-B-S-250-C-1-O,NPT 1/4,700 бар,0.2,4 порта,Нержавеющая сталь 316L,250 бар,нет,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-B-S-250-M-1-S,NPT 1/4,700 бар,0.06,4 порта,Нержавеющая сталь 316L,250 бар,нет,<img src='assets/images/ports/Mf_filter.jpg'/>
,DR80-B-S-250-M-1-O,NPT 1/4,700 бар,0.2,4 порта,Нержавеющая сталь 316L,250 бар,нет,<img src='assets/images/ports/Mf_filter.jpg'/>
,DR80-B-S-350-A-1-S,NPT 1/4,700 бар,0.06,2 порта,Нержавеющая сталь 316L,350 бар,нет,<img src='assets/images/ports/Af_filter.jpg'/>
,DR80-B-S-350-A-1-O,NPT 1/4,700 бар,0.2,2 порта,Нержавеющая сталь 316L,350 бар,нет,<img src='assets/images/ports/Af_filter.jpg'/>
,DR80-B-S-350-C-1-S,NPT 1/4,700 бар,0.06,4 порта,Нержавеющая сталь 316L,350 бар,нет,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-B-S-350-C-1-O,NPT 1/4,700 бар,0.2,4 порта,Нержавеющая сталь 316L,350 бар,нет,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-B-S-350-M-1-S,NPT 1/4,700 бар,0.06,4 порта,Нержавеющая сталь 316L,350 бар,нет,<img src='assets/images/ports/Mf_filter.jpg'/>
,DR80-B-S-350-M-1-O,NPT 1/4,700 бар,0.2,4 порта,Нержавеющая сталь 316L,350 бар,нет,<img src='assets/images/ports/Mf_filter.jpg'/>
,DR80-B-S-500-A-1-S,NPT 1/4,700 бар,0.06,2 порта,Нержавеющая сталь 316L,500 бар,нет,<img src='assets/images/ports/Af_filter.jpg'/>
,DR80-B-S-500-A-1-O,NPT 1/4,700 бар,0.2,2 порта,Нержавеющая сталь 316L,500 бар,нет,<img src='assets/images/ports/Af_filter.jpg'/>
,DR80-B-S-500-C-1-S,NPT 1/4,700 бар,0.06,4 порта,Нержавеющая сталь 316L,500 бар,нет,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-B-S-500-C-1-O,NPT 1/4,700 бар,0.2,4 порта,Нержавеющая сталь 316L,500 бар,нет,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-B-S-500-M-1-S,NPT 1/4,700 бар,0.06,4 порта,Нержавеющая сталь 316L,500 бар,нет,<img src='assets/images/ports/Mf_filter.jpg'/>
,DR80-B-S-500-M-1-O,NPT 1/4,700 бар,0.2,4 порта,Нержавеющая сталь 316L,500 бар,нет,<img src='assets/images/ports/Mf_filter.jpg'/>
,DR80-B-S-700-A-1-S,NPT 1/4,700 бар,0.06,2 порта,Нержавеющая сталь 316L,700 бар,нет,<img src='assets/images/ports/Af_filter.jpg'/>
,DR80-B-S-700-A-1-O,NPT 1/4,700 бар,0.2,2 порта,Нержавеющая сталь 316L,700 бар,нет,<img src='assets/images/ports/Af_filter.jpg'/>
,DR80-B-S-700-C-1-S,NPT 1/4,700 бар,0.06,4 порта,Нержавеющая сталь 316L,700 бар,нет,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-B-S-700-C-1-O,NPT 1/4,700 бар,0.2,4 порта,Нержавеющая сталь 316L,700 бар,нет,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-B-S-700-M-1-S,NPT 1/4,700 бар,0.06,4 порта,Нержавеющая сталь 316L,700 бар,нет,<img src='assets/images/ports/Mf_filter.jpg'/>
,DR80-B-S-700-M-1-O,NPT 1/4,700 бар,0.2,4 порта,Нержавеющая сталь 316L,700 бар,нет,<img src='assets/images/ports/Mf_filter.jpg'/>
,DR80-A-S-070-A-1-S-V,NPT 1/4,420 бар,0.06,2 порта,Нержавеющая сталь 316L,70 бар,да,<img src='assets/images/ports/Af_filter.jpg'/>
,DR80-A-S-070-A-1-O-V,NPT 1/4,420 бар,0.2,2 порта,Нержавеющая сталь 316L,70 бар,да,<img src='assets/images/ports/Af_filter.jpg'/>
,DR80-A-S-070-C-1-S-V,NPT 1/4,420 бар,0.06,4 порта,Нержавеющая сталь 316L,70 бар,да,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-A-S-070-C-1-O-V,NPT 1/4,420 бар,0.2,4 порта,Нержавеющая сталь 316L,70 бар,да,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-A-S-070-M-1-S-V,NPT 1/4,420 бар,0.06,4 порта,Нержавеющая сталь 316L,70 бар,да,<img src='assets/images/ports/Mf_filter.jpg'/>
,DR80-A-S-070-M-1-O-V,NPT 1/4,420 бар,0.2,4 порта,Нержавеющая сталь 316L,70 бар,да,<img src='assets/images/ports/Mf_filter.jpg'/>
,DR80-A-S-150-A-1-S-V,NPT 1/4,420 бар,0.06,2 порта,Нержавеющая сталь 316L,150 бар,да,<img src='assets/images/ports/Af_filter.jpg'/>
,DR80-A-S-150-A-1-O-V,NPT 1/4,420 бар,0.2,2 порта,Нержавеющая сталь 316L,150 бар,да,<img src='assets/images/ports/Af_filter.jpg'/>
,DR80-A-S-150-C-1-S-V,NPT 1/4,420 бар,0.06,4 порта,Нержавеющая сталь 316L,150 бар,да,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-A-S-150-C-1-O-V,NPT 1/4,420 бар,0.2,4 порта,Нержавеющая сталь 316L,150 бар,да,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-A-S-150-M-1-S-V,NPT 1/4,420 бар,0.06,4 порта,Нержавеющая сталь 316L,150 бар,да,<img src='assets/images/ports/Mf_filter.jpg'/>
,DR80-A-S-150-M-1-O-V,NPT 1/4,420 бар,0.2,4 порта,Нержавеющая сталь 316L,150 бар,да,<img src='assets/images/ports/Mf_filter.jpg'/>
,DR80-A-S-250-A-1-S-V,NPT 1/4,420 бар,0.06,2 порта,Нержавеющая сталь 316L,250 бар,да,<img src='assets/images/ports/Af_filter.jpg'/>
,DR80-A-S-250-A-1-O-V,NPT 1/4,420 бар,0.2,2 порта,Нержавеющая сталь 316L,250 бар,да,<img src='assets/images/ports/Af_filter.jpg'/>
,DR80-A-S-250-C-1-S-V,NPT 1/4,420 бар,0.06,4 порта,Нержавеющая сталь 316L,250 бар,да,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-A-S-250-C-1-O-V,NPT 1/4,420 бар,0.2,4 порта,Нержавеющая сталь 316L,250 бар,да,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-A-S-250-M-1-S-V,NPT 1/4,420 бар,0.06,4 порта,Нержавеющая сталь 316L,250 бар,да,<img src='assets/images/ports/Mf_filter.jpg'/>
,DR80-A-S-250-M-1-O-V,NPT 1/4,420 бар,0.2,4 порта,Нержавеющая сталь 316L,250 бар,да,<img src='assets/images/ports/Mf_filter.jpg'/>
,DR80-A-S-350-A-1-S-V,NPT 1/4,420 бар,0.06,2 порта,Нержавеющая сталь 316L,350 бар,да,<img src='assets/images/ports/Af_filter.jpg'/>
,DR80-A-S-350-A-1-O-V,NPT 1/4,420 бар,0.2,2 порта,Нержавеющая сталь 316L,350 бар,да,<img src='assets/images/ports/Af_filter.jpg'/>
,DR80-A-S-350-C-1-S-V,NPT 1/4,420 бар,0.06,4 порта,Нержавеющая сталь 316L,350 бар,да,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-A-S-350-C-1-O-V,NPT 1/4,420 бар,0.2,4 порта,Нержавеющая сталь 316L,350 бар,да,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-A-S-350-M-1-S-V,NPT 1/4,420 бар,0.06,4 порта,Нержавеющая сталь 316L,350 бар,да,<img src='assets/images/ports/Mf_filter.jpg'/>
,DR80-A-S-350-M-1-O-V,NPT 1/4,420 бар,0.2,4 порта,Нержавеющая сталь 316L,350 бар,да,<img src='assets/images/ports/Mf_filter.jpg'/>
,DR80-A-S-500-A-1-S-V,NPT 1/4,420 бар,0.06,2 порта,Нержавеющая сталь 316L,420 бар,да,<img src='assets/images/ports/Af_filter.jpg'/>
,DR80-A-S-500-A-1-O-V,NPT 1/4,420 бар,0.2,2 порта,Нержавеющая сталь 316L,420 бар,да,<img src='assets/images/ports/Af_filter.jpg'/>
,DR80-A-S-500-C-1-S-V,NPT 1/4,420 бар,0.06,4 порта,Нержавеющая сталь 316L,420 бар,да,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-A-S-500-C-1-O-V,NPT 1/4,420 бар,0.2,4 порта,Нержавеющая сталь 316L,420 бар,да,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-A-S-500-M-1-S-V,NPT 1/4,420 бар,0.06,4 порта,Нержавеющая сталь 316L,420 бар,да,<img src='assets/images/ports/Mf_filter.jpg'/>
,DR80-A-S-500-M-1-O-V,NPT 1/4,420 бар,0.2,4 порта,Нержавеющая сталь 316L,420 бар,да,<img src='assets/images/ports/Mf_filter.jpg'/>
,DR80-A-S-700-A-1-S-V,NPT 1/4,420 бар,0.06,2 порта,Нержавеющая сталь 316L,420 бар,да,<img src='assets/images/ports/Af_filter.jpg'/>
,DR80-A-S-700-A-1-O-V,NPT 1/4,420 бар,0.2,2 порта,Нержавеющая сталь 316L,420 бар,да,<img src='assets/images/ports/Af_filter.jpg'/>
,DR80-A-S-700-C-1-S-V,NPT 1/4,420 бар,0.06,4 порта,Нержавеющая сталь 316L,420 бар,да,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-A-S-700-C-1-O-V,NPT 1/4,420 бар,0.2,4 порта,Нержавеющая сталь 316L,420 бар,да,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-A-S-700-M-1-S-V,NPT 1/4,420 бар,0.06,4 порта,Нержавеющая сталь 316L,420 бар,да,<img src='assets/images/ports/Mf_filter.jpg'/>
,DR80-A-S-700-M-1-O-V,NPT 1/4,420 бар,0.2,4 порта,Нержавеющая сталь 316L,420 бар,да,<img src='assets/images/ports/Mf_filter.jpg'/>
,DR80-B-S-070-A-1-S-V,NPT 1/4,700 бар,0.06,2 порта,Нержавеющая сталь 316L,70 бар,да,<img src='assets/images/ports/Af_filter.jpg'/>
,DR80-B-S-070-A-1-O-V,NPT 1/4,700 бар,0.2,2 порта,Нержавеющая сталь 316L,70 бар,да,<img src='assets/images/ports/Af_filter.jpg'/>
,DR80-B-S-070-C-1-S-V,NPT 1/4,700 бар,0.06,4 порта,Нержавеющая сталь 316L,70 бар,да,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-B-S-070-C-1-O-V,NPT 1/4,700 бар,0.2,4 порта,Нержавеющая сталь 316L,70 бар,да,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-B-S-070-M-1-S-V,NPT 1/4,700 бар,0.06,4 порта,Нержавеющая сталь 316L,70 бар,да,<img src='assets/images/ports/Mf_filter.jpg'/>
,DR80-B-S-070-M-1-O-V,NPT 1/4,700 бар,0.2,4 порта,Нержавеющая сталь 316L,70 бар,да,<img src='assets/images/ports/Mf_filter.jpg'/>
,DR80-B-S-150-A-1-S-V,NPT 1/4,700 бар,0.06,2 порта,Нержавеющая сталь 316L,150 бар,да,<img src='assets/images/ports/Af_filter.jpg'/>
,DR80-B-S-150-A-1-O-V,NPT 1/4,700 бар,0.2,2 порта,Нержавеющая сталь 316L,150 бар,да,<img src='assets/images/ports/Af_filter.jpg'/>
,DR80-B-S-150-C-1-S-V,NPT 1/4,700 бар,0.06,4 порта,Нержавеющая сталь 316L,150 бар,да,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-B-S-150-C-1-O-V,NPT 1/4,700 бар,0.2,4 порта,Нержавеющая сталь 316L,150 бар,да,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-B-S-150-M-1-S-V,NPT 1/4,700 бар,0.06,4 порта,Нержавеющая сталь 316L,150 бар,да,<img src='assets/images/ports/Mf_filter.jpg'/>
,DR80-B-S-150-M-1-O-V,NPT 1/4,700 бар,0.2,4 порта,Нержавеющая сталь 316L,150 бар,да,<img src='assets/images/ports/Mf_filter.jpg'/>
,DR80-B-S-250-A-1-S-V,NPT 1/4,700 бар,0.06,2 порта,Нержавеющая сталь 316L,250 бар,да,<img src='assets/images/ports/Af_filter.jpg'/>
,DR80-B-S-250-A-1-O-V,NPT 1/4,700 бар,0.2,2 порта,Нержавеющая сталь 316L,250 бар,да,<img src='assets/images/ports/Af_filter.jpg'/>
,DR80-B-S-250-C-1-S-V,NPT 1/4,700 бар,0.06,4 порта,Нержавеющая сталь 316L,250 бар,да,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-B-S-250-C-1-O-V,NPT 1/4,700 бар,0.2,4 порта,Нержавеющая сталь 316L,250 бар,да,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-B-S-250-M-1-S-V,NPT 1/4,700 бар,0.06,4 порта,Нержавеющая сталь 316L,250 бар,да,<img src='assets/images/ports/Mf_filter.jpg'/>
,DR80-B-S-250-M-1-O-V,NPT 1/4,700 бар,0.2,4 порта,Нержавеющая сталь 316L,250 бар,да,<img src='assets/images/ports/Mf_filter.jpg'/>
,DR80-B-S-350-A-1-S-V,NPT 1/4,700 бар,0.06,2 порта,Нержавеющая сталь 316L,350 бар,да,<img src='assets/images/ports/Af_filter.jpg'/>
,DR80-B-S-350-A-1-O-V,NPT 1/4,700 бар,0.2,2 порта,Нержавеющая сталь 316L,350 бар,да,<img src='assets/images/ports/Af_filter.jpg'/>
,DR80-B-S-350-C-1-S-V,NPT 1/4,700 бар,0.06,4 порта,Нержавеющая сталь 316L,350 бар,да,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-B-S-350-C-1-O-V,NPT 1/4,700 бар,0.2,4 порта,Нержавеющая сталь 316L,350 бар,да,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-B-S-350-M-1-S-V,NPT 1/4,700 бар,0.06,4 порта,Нержавеющая сталь 316L,350 бар,да,<img src='assets/images/ports/Mf_filter.jpg'/>
,DR80-B-S-350-M-1-O-V,NPT 1/4,700 бар,0.2,4 порта,Нержавеющая сталь 316L,350 бар,да,<img src='assets/images/ports/Mf_filter.jpg'/>
,DR80-B-S-500-A-1-S-V,NPT 1/4,700 бар,0.06,2 порта,Нержавеющая сталь 316L,500 бар,да,<img src='assets/images/ports/Af_filter.jpg'/>
,DR80-B-S-500-A-1-O-V,NPT 1/4,700 бар,0.2,2 порта,Нержавеющая сталь 316L,500 бар,да,<img src='assets/images/ports/Af_filter.jpg'/>
,DR80-B-S-500-C-1-S-V,NPT 1/4,700 бар,0.06,4 порта,Нержавеющая сталь 316L,500 бар,да,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-B-S-500-C-1-O-V,NPT 1/4,700 бар,0.2,4 порта,Нержавеющая сталь 316L,500 бар,да,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-B-S-500-M-1-S-V,NPT 1/4,700 бар,0.06,4 порта,Нержавеющая сталь 316L,500 бар,да,<img src='assets/images/ports/Mf_filter.jpg'/>
,DR80-B-S-500-M-1-O-V,NPT 1/4,700 бар,0.2,4 порта,Нержавеющая сталь 316L,500 бар,да,<img src='assets/images/ports/Mf_filter.jpg'/>
,DR80-B-S-700-A-1-S-V,NPT 1/4,700 бар,0.06,2 порта,Нержавеющая сталь 316L,700 бар,да,<img src='assets/images/ports/Af_filter.jpg'/>
,DR80-B-S-700-A-1-O-V,NPT 1/4,700 бар,0.2,2 порта,Нержавеющая сталь 316L,700 бар,да,<img src='assets/images/ports/Af_filter.jpg'/>
,DR80-B-S-700-C-1-S-V,NPT 1/4,700 бар,0.06,4 порта,Нержавеющая сталь 316L,700 бар,да,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-B-S-700-C-1-O-V,NPT 1/4,700 бар,0.2,4 порта,Нержавеющая сталь 316L,700 бар,да,<img src='assets/images/ports/Cf_filter.jpg'/>
,DR80-B-S-700-M-1-S-V,NPT 1/4,700 бар,0.06,4 порта,Нержавеющая сталь 316L,700 бар,да,<img src='assets/images/ports/Mf_filter.jpg'/>
,DR80-B-S-700-M-1-O-V,NPT 1/4,700 бар,0.2,4 порта,Нержавеющая сталь 316L,700 бар,да,<img src='assets/images/ports/Mf_filter.jpg'/>
