#,Заказной код,Параметр:Заказной код:Диаметр,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Штуцер,Параметр:Заказной код:Диапазон давления
,"711-12-160-0-0,6",160 мм,2хG1/2B,снизу,"от 0 до 0,6 бар / mWS"
,711-12-160-0-1,160 мм,2хG1/2B,снизу,от 0 до 1 бар / mWS
,"711-12-160-0-1,6",160 мм,2хG1/2B,снизу,"от 0 до 1,6 бар / mWS"
,"711-12-160-0-2,5",160 мм,2хG1/2B,снизу,"от 0 до 2,5 бар / mWS"
,711-12-160-0-4,160 мм,2хG1/2B,снизу,от 0 до 4 бар / mWS
,711-12-160-0-6,160 мм,2хG1/2B,снизу,от 0 до 6 бар / mWS
,711-12-160-0-10,160 мм,2хG1/2B,снизу,от 0 до 10 бар / mWS
,711-12-160-0-16,160 мм,2хG1/2B,снизу,от 0 до 16 бар / mWS
,711-12-160-0-25,160 мм,2хG1/2B,снизу,от 0 до 25 бар / mWS
,711-12-160-0-40,160 мм,2хG1/2B,снизу,от 0 до 40 бар / mWS
,711-12-160-0-60,160 мм,2хG1/2B,снизу,от 0 до 60 бар / mWS
,711-12-160-0-100,160 мм,2хG1/2B,снизу,от 0 до 100 бар / mWS
,711-12-160-0-160,160 мм,2хG1/2B,снизу,от 0 до 160 бар / mWS
,711-12-160-0-250,160 мм,2хG1/2B,снизу,от 0 до 250 бар / mWS
,711-12-160-0-400,160 мм,2хG1/2B,снизу,от 0 до 400 бар / mWS
