#,Заказной код,Параметр:Заказной код:Подсоединение инструмента,Параметр:Заказной код:Подсоединение процесса,Параметр:Заказной код:Материал верхней части,Параметр:Заказной код:Материал нижней части,Параметр:Заказной код:Материал мембраны
,DT102-B-2-S-S-1,"FNPT 1/4""","FNPT 1/4""",SS316,SS316,SS316L
,DT102-B-4-S-S-1,"FNPT 1/4""","FNPT 3/8""",SS316,SS316,SS316L
,DT102-B-6-S-S-1,"FNPT 1/4""","FNPT 1/2""",SS316,SS316,SS316L
,DT102-D-2-S-S-1,"FNPT 3/8""","FNPT 1/4""",SS316,SS316,SS316L
,DT102-D-4-S-S-1,"FNPT 3/8""","FNPT 3/8""",SS316,SS316,SS316L
,DT102-D-6-S-S-1,"FNPT 3/8""","FNPT 1/2""",SS316,SS316,SS316L
,DT102-F-2-S-S-1,"FNPT 1/2""","FNPT 1/4""",SS316,SS316,SS316L
,DT102-F-4-S-S-1,"FNPT 1/2""","FNPT 3/8""",SS316,SS316,SS316L
,DT102-F-6-S-S-1,"FNPT 1/2""","FNPT 1/2""",SS316,SS316,SS316L
,DT102-M-2-S-S-1,M20x1.5 внутр.,"FNPT 1/4""",SS316,SS316,SS316L
,DT102-M-4-S-S-1,M20x1.5 внутр.,"FNPT 3/8""",SS316,SS316,SS316L
,DT102-M-6-S-S-1,M20x1.5 внутр.,"FNPT 1/2""",SS316,SS316,SS316L
