code;value;count;currency
DEGE-06S-M12;0;0;$
DEGE-06S-M12-STEL;0;0;$
DEGE-06S-M12-BRAS;0;0;$
DEGE-08S-M14;0;0;$
DEGE-08S-M14-STEL;0;0;$
DEGE-08S-M14-BRAS;0;0;$
DEGE-10S-M16;0;0;$
DEGE-10S-M16-STEL;0;0;$
DEGE-10S-M16-BRAS;0;0;$
DEGE-12S-M18;0;0;$
DEGE-12S-M18-STEL;0;0;$
DEGE-12S-M18-BRAS;0;0;$
DEGE-14S-M20;0;0;$
DEGE-14S-M20-STEL;0;0;$
DEGE-14S-M20-BRAS;0;0;$
DEGE-16S-M22;0;0;$
DEGE-16S-M22-STEL;0;0;$
DEGE-16S-M22-BRAS;0;0;$
DEGE-20S-M27;56.93;0;$
DEGE-20S-M27-STEL;0;0;$
DEGE-20S-M27-BRAS;0;0;$
DEGE-25S-M33;0;0;$
DEGE-25S-M33-STEL;0;0;$
DEGE-25S-M33-BRAS;0;0;$
DEGE-30S-M42;0;0;$
DEGE-30S-M42-STEL;0;0;$
DEGE-30S-M42-BRAS;0;0;$
DEGE-38S-M48;0;0;$
DEGE-38S-M48-STEL;0;0;$
DEGE-38S-M48-BRAS;0;0;$
