code;value;count;currency
EB-M12X1.5-H2-2;0;0;$
EB-M12X1.5-H3-2;0;0;$
EB-M12X1.5-H4-1;0;0;$
EB-M16X1.5-H2-3;0;0;$
EB-M16X1.5-H3-3;0;0;$
EB-M16X1.5-H4-2;0;0;$
EB-M16X1.5-H5-1;0;0;$
EB-M20x1,5-H2-4 seal;0.6;0;$
EB-M20X1.5-H3-4;0;0;$
EB-M20X1.5-H4-3;0;0;$
EB-M20X1.5-H5-2;0;0;$
EB-M20X1.5-H6-1;0;0;$
EB-M25x1,5-H2-5 seal;0;0;$
EB-M25X1.5-H3-5;0;0;$
EB-M25X1.5-H4-4;0;0;$
EB-M25X1.5-H5-3;0;0;$
EB-M25X1.5-H6-2;0;0;$
EB-M32x1,5-H2-7 seal;0;0;$
EB-M32X1.5-H3-6;0;0;$
EB-M32X1.5-H4-6;0;0;$
EB-M32X1.5-H5-4;0;0;$
EB-M32X1.5-H6-3;0;0;$
EB-M32X1.5-H7-2;0;0;$
EB-M40x1,5-H2-8 seal;0;0;$
EB-M40X1.5-H3-8;0;0;$
EB-M40X1.5-H4-8;0;0;$
EB-M40X1.5-H5-6;0;0;$
EB-M40X1.5-H6-5;0;0;$
EB-M40X1.5-H7-5;0;0;$
EB-M50x1,5-H2-12 seal;0;0;$
EB-M50X1.5-H3-11;0;0;$
EB-M50X1.5-H4-9;0;0;$
EB-M50X1.5-H5-8;0;0;$
EB-M50X1.5-H6-7;0;0;$
EB-M50X1.5-H7-7;0;0;$
EB-M20X1.5-W4H10;0;0;$
EB-M20 X 1.5-W3H11;0;0;$
EB-M25X1.5-W6H13;0;0;$
EB-M32X1.5-W5H17;0;0;$
EB-M40 X 1.5-W8H25;0;0;$
EB-M50 X 1.5-W6H30;0;0;$
EB-M63 X 1.5-W9H43;0;0;$
