#,Заказной код,Параметр:Заказной код:Подсоединение к процессу,Параметр:Заказной код:Диапазон давления,"Параметр:Заказной код:Детали, контактирующие со средой",Параметр:Заказной код:Микропереключатели,Параметр:Заказной код:Тип взрывозащиты
,DPS2100X-10R-A-1-F-1-A,FNPT 1/2,"0,21-1,9 бар",SS316,SPDTx1,A
,DPS2100X-10R-A-1-F-1-B,FNPT 1/2,"0,21-1,9 бар",SS316,SPDTx1,B
,DPS2100X-10R-A-1-F-1-C,FNPT 1/2,"0,21-1,9 бар",SS316,SPDTx1,C
,DPS2100X-10R-A-1-F-2-A,FNPT 1/2,"0,21-1,9 бар",SS316, SPDTx2,A
,DPS2100X-10R-A-1-F-2-B,FNPT 1/2,"0,21-1,9 бар",SS316, SPDTx2,B
,DPS2100X-10R-A-1-F-2-C,FNPT 1/2,"0,21-1,9 бар",SS316, SPDTx2,C
,DPS2100X-10R-A-2-F-1-A,"FNPT 1/4, стандарт","0,21-1,9 бар",SS316,SPDTx1,A
,DPS2100X-10R-A-2-F-1-B,"FNPT 1/4, стандарт","0,21-1,9 бар",SS316,SPDTx1,B
,DPS2100X-10R-A-2-F-1-C,"FNPT 1/4, стандарт","0,21-1,9 бар",SS316,SPDTx1,C
,DPS2100X-10R-A-2-F-2-A,"FNPT 1/4, стандарт","0,21-1,9 бар",SS316, SPDTx2,A
,DPS2100X-10R-A-2-F-2-B,"FNPT 1/4, стандарт","0,21-1,9 бар",SS316, SPDTx2,B
,DPS2100X-10R-A-2-F-2-C,"FNPT 1/4, стандарт","0,21-1,9 бар",SS316, SPDTx2,C
,DPS2100X-20R-A-1-F-1-A,FNPT 1/2,"0,48-6,9 бар",SS316,SPDTx1,A
,DPS2100X-20R-A-1-F-1-B,FNPT 1/2,"0,48-6,9 бар",SS316,SPDTx1,B
,DPS2100X-20R-A-1-F-1-C,FNPT 1/2,"0,48-6,9 бар",SS316,SPDTx1,C
,DPS2100X-20R-A-1-F-2-A,FNPT 1/2,"0,48-6,9 бар",SS316, SPDTx2,A
,DPS2100X-20R-A-1-F-2-B,FNPT 1/2,"0,48-6,9 бар",SS316, SPDTx2,B
,DPS2100X-20R-A-1-F-2-C,FNPT 1/2,"0,48-6,9 бар",SS316, SPDTx2,C
,DPS2100X-20R-A-2-F-1-A,"FNPT 1/4, стандарт","0,48-6,9 бар",SS316,SPDTx1,A
,DPS2100X-20R-A-2-F-1-B,"FNPT 1/4, стандарт","0,48-6,9 бар",SS316,SPDTx1,B
,DPS2100X-20R-A-2-F-1-C,"FNPT 1/4, стандарт","0,48-6,9 бар",SS316,SPDTx1,C
,DPS2100X-20R-A-2-F-2-A,"FNPT 1/4, стандарт","0,48-6,9 бар",SS316, SPDTx2,A
,DPS2100X-20R-A-2-F-2-B,"FNPT 1/4, стандарт","0,48-6,9 бар",SS316, SPDTx2,B
,DPS2100X-20R-A-2-F-2-C,"FNPT 1/4, стандарт","0,48-6,9 бар",SS316, SPDTx2,C
,DPS2100X-30R-A-1-F-1-A,FNPT 1/2,"2,4-13,8 бар",SS316,SPDTx1,A
,DPS2100X-30R-A-1-F-1-B,FNPT 1/2,"2,4-13,8 бар",SS316,SPDTx1,B
,DPS2100X-30R-A-1-F-1-C,FNPT 1/2,"2,4-13,8 бар",SS316,SPDTx1,C
,DPS2100X-30R-A-1-F-2-A,FNPT 1/2,"2,4-13,8 бар",SS316, SPDTx2,A
,DPS2100X-30R-A-1-F-2-B,FNPT 1/2,"2,4-13,8 бар",SS316, SPDTx2,B
,DPS2100X-30R-A-1-F-2-C,FNPT 1/2,"2,4-13,8 бар",SS316, SPDTx2,C
,DPS2100X-30R-A-2-F-1-A,"FNPT 1/4, стандарт","2,4-13,8 бар",SS316,SPDTx1,A
,DPS2100X-30R-A-2-F-1-B,"FNPT 1/4, стандарт","2,4-13,8 бар",SS316,SPDTx1,B
,DPS2100X-30R-A-2-F-1-C,"FNPT 1/4, стандарт","2,4-13,8 бар",SS316,SPDTx1,C
,DPS2100X-30R-A-2-F-2-A,"FNPT 1/4, стандарт","2,4-13,8 бар",SS316, SPDTx2,A
,DPS2100X-30R-A-2-F-2-B,"FNPT 1/4, стандарт","2,4-13,8 бар",SS316, SPDTx2,B
,DPS2100X-30R-A-2-F-2-C,"FNPT 1/4, стандарт","2,4-13,8 бар",SS316, SPDTx2,C
,DPS2100X-40R-A-1-F-1-A,FNPT 1/2,"3,4-34,5 бар",SS316,SPDTx1,A
,DPS2100X-40R-A-1-F-1-B,FNPT 1/2,"3,4-34,5 бар",SS316,SPDTx1,B
,DPS2100X-40R-A-1-F-1-C,FNPT 1/2,"3,4-34,5 бар",SS316,SPDTx1,C
,DPS2100X-40R-A-1-F-2-A,FNPT 1/2,"3,4-34,5 бар",SS316, SPDTx2,A
,DPS2100X-40R-A-1-F-2-B,FNPT 1/2,"3,4-34,5 бар",SS316, SPDTx2,B
,DPS2100X-40R-A-1-F-2-C,FNPT 1/2,"3,4-34,5 бар",SS316, SPDTx2,C
,DPS2100X-40R-A-2-F-1-A,"FNPT 1/4, стандарт","3,4-34,5 бар",SS316,SPDTx1,A
,DPS2100X-40R-A-2-F-1-B,"FNPT 1/4, стандарт","3,4-34,5 бар",SS316,SPDTx1,B
,DPS2100X-40R-A-2-F-1-C,"FNPT 1/4, стандарт","3,4-34,5 бар",SS316,SPDTx1,C
,DPS2100X-40R-A-2-F-2-A,"FNPT 1/4, стандарт","3,4-34,5 бар",SS316, SPDTx2,A
,DPS2100X-40R-A-2-F-2-B,"FNPT 1/4, стандарт","3,4-34,5 бар",SS316, SPDTx2,B
,DPS2100X-40R-A-2-F-2-C,"FNPT 1/4, стандарт","3,4-34,5 бар",SS316, SPDTx2,C
,DPS2100X-10R-A-M-F-1-A,M20x1.5,"0,21-1,9 бар",SS316,SPDTx1,A
,DPS2100X-10R-A-M-F-1-B,M20x1.5,"0,21-1,9 бар",SS316,SPDTx1,B
,DPS2100X-10R-A-M-F-1-C,M20x1.5,"0,21-1,9 бар",SS316,SPDTx1,C
