#,Заказной код,Параметр:Заказной код:Материал,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Размер шкалы,Параметр:Заказной код:Давление,Параметр:Заказной код:Электроконтакт,Параметр:Заказной код:Опция
,G72-S-8N-100A-4bar-M21-OX,нержавеющая сталь,"NPT 1/2""",100мм,0-4бар,Два,Очистка под кислород
,G72-S-8N-100A-10bar-M21-OX,нержавеющая сталь,"NPT 1/2""",100мм,0-10бар,Два,Очистка под кислород
,G72-S-8N-100A-16bar-M21-OX,нержавеющая сталь,"NPT 1/2""",100мм,0-16бар,Два,Очистка под кислород
,G72-S-8N-100A-25bar-M21-OX,нержавеющая сталь,"NPT 1/2""",100мм,0-25бар,Два,Очистка под кислород
,G72-S-8N-100A-40bar-M21-OX,нержавеющая сталь,"NPT 1/2""",100мм,0-40бар,Два,Очистка под кислород
,G72-S-8N-100A-60bar-M21-OX,нержавеющая сталь,"NPT 1/2""",100мм,0-60бар,Два,Очистка под кислород
,G72-S-8N-100A-100bar-M21-OX,нержавеющая сталь,"NPT 1/2""",100мм,0-100бар,Два,Очистка под кислород
,G72-S-8N-100A-160bar-M21-OX,нержавеющая сталь,"NPT 1/2""",100мм,0-160бар,Два,Очистка под кислород
,G72-S-8N-100A-250bar-M21-OX,нержавеющая сталь,"NPT 1/2""",100мм,0-250бар,Два,Очистка под кислород
,G72-S-8N-100A-400bar-M21-OX,нержавеющая сталь,"NPT 1/2""",100мм,0-400бар,Два,Очистка под кислород
,G72-S-8N-100A-600bar-M21-OX,нержавеющая сталь,"NPT 1/2""",100мм,0-600бар,Два,Очистка под кислород
