#,Заказной код,Параметр:Заказной код:Диаметр,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Штуцер,Параметр:Заказной код:Диапазон давления
,612-20-100-10-0m-8N,100 мм,1/2NPT,снизу,от -10 до 0 мбар
,612-20-100-0-10m-8N,100 мм,1/2NPT,снизу,от 0 до 10 мбар
,612-20-100-0-16m-8N,100 мм,1/2NPT,снизу,от 0 до 16 мбар
,612-20-100-0-25m-8N,100 мм,1/2NPT,снизу,от 0 до 25 мбар
,612-20-100-0-40m-8N,100 мм,1/2NPT,снизу,от 0 до 40 мбар
,612-20-100-0-60m-8N,100 мм,1/2NPT,снизу,от 0 до 60 мбар
,612-20-100-0-100m-8N,100 мм,1/2NPT,снизу,от 0 до 100 мбар
,612-20-100-0-160m-8N,100 мм,1/2NPT,снизу,от 0 до 160 мбар
,612-20-100-0-250m-8N,100 мм,1/2NPT,снизу,от 0 до 250 мбар
,612-20-100-0-400m-8N,100 мм,1/2NPT,снизу,от 0 до 400 мбар
,612-20-100-0-600m-8N,100 мм,1/2NPT,снизу,от 0 до 600 мбар
,612-20-100-600-0m-b-8N,100 мм,1/2NPT,сзади,от -600 до 0 мбар
,612-20-100-400-0m-b-8N,100 мм,1/2NPT,сзади,от -400 до 0 мбар
,612-20-100-250-0m-b-8N,100 мм,1/2NPT,сзади,от -250 до 0 мбар
,612-20-100-160-0m-b-8N,100 мм,1/2NPT,сзади,от -160 до 0 мбар
,612-20-100-100-0m-b-8N,100 мм,1/2NPT,сзади,от -100 до 0 мбар
,612-20-100-60-0m-b-8N,100 мм,1/2NPT,сзади,от -60 до 0 мбар
,612-20-100-40-0m-b-8N,100 мм,1/2NPT,сзади,от -40 до 0 мбар
,612-20-100-25-0m-b-8N,100 мм,1/2NPT,сзади,от -25 до 0 мбар
,612-20-100-16-0m-b-8N,100 мм,1/2NPT,сзади,от -16 до 0 мбар
,612-20-100-10-0m-b-8N,100 мм,1/2NPT,сзади,от -10 до 0 мбар
,612-20-100-0-10m-b-8N,100 мм,1/2NPT,сзади,от 0 до 10 мбар
,612-20-100-0-16m-b-8N,100 мм,1/2NPT,сзади,от 0 до 16 мбар
,612-20-100-0-25m-b-8N,100 мм,1/2NPT,сзади,от 0 до 25 мбар
,612-20-100-0-40m-b-8N,100 мм,1/2NPT,сзади,от 0 до 40 мбар
,612-20-100-0-60m-b-8N,100 мм,1/2NPT,сзади,от 0 до 60 мбар
,612-20-100-0-100m-b-8N,100 мм,1/2NPT,сзади,от 0 до 100 мбар
,612-20-100-0-160m-b-8N,100 мм,1/2NPT,сзади,от 0 до 160 мбар
,612-20-100-0-250m-b-8N,100 мм,1/2NPT,сзади,от 0 до 250 мбар
,612-20-100-0-400m-b-8N,100 мм,1/2NPT,сзади,от 0 до 400 мбар
,612-20-100-0-600m-b-8N,100 мм,1/2NPT,сзади,от 0 до 600 мбар
