#,Заказной код,Параметр:Заказной код:Подсоединение к процессу,Параметр:Заказной код:Диапазон давления,"Параметр:Заказной код:Детали, контактирующие со средой",Параметр:Заказной код:Микропереключатели,Параметр:Заказной код:Тип взрывозащиты
,PS2200X-20R-A-2-F-1-B,FNPT 1/4,"0,03-0,3 бар",SS316,SPDTx1,B - EC-Type Examination: ITRl/TAIWAN—Exd MB + H2T6
,PS2200X-30R-A-2-F-1-B,FNPT 1/4,"0,11-0,7 бар",SS316,SPDTx1,B - EC-Type Examination: ITRl/TAIWAN—Exd MB + H2T6
,PS2200X-04R-A-2-F-1-C,FNPT 1/4,"0,003-0,12 бар",SS316,SPDTx1,C - EC-Type Examination: ATEX-II2 GD Ex d IIB + H2 Gb T6 Ex tb IIIC Db T85
,PS2200X-10R-A-2-F-1-C,FNPT 1/4,"0,03-0,2 бар",SS316,SPDTx1,C - EC-Type Examination: ATEX-II2 GD Ex d IIB + H2 Gb T6 Ex tb IIIC Db T85
,PS2200X-20R-A-2-F-1-C,FNPT 1/4,"0,03-0,3 бар",SS316,SPDTx1,C - EC-Type Examination: ATEX-II2 GD Ex d IIB + H2 Gb T6 Ex tb IIIC Db T85
,PS2200X-30R-A-2-F-1-C,FNPT 1/4,"0,11-0,7 бар",SS316,SPDTx1,C - EC-Type Examination: ATEX-II2 GD Ex d IIB + H2 Gb T6 Ex tb IIIC Db T85
,PS2200X-04R-A-2-F-2-A,FNPT 1/4,"0,003-0,12 бар",SS316,SPDTx2,"A - Сертификат только на клеммную коробку-Class I, Class II"
,PS2200X-10R-A-2-F-2-A,FNPT 1/4,"0,03-0,2 бар",SS316,SPDTx2,"A - Сертификат только на клеммную коробку-Class I, Class II"
,PS2200X-20R-A-2-F-2-A,FNPT 1/4,"0,03-0,3 бар",SS316,SPDTx2,"A - Сертификат только на клеммную коробку-Class I, Class II"
,PS2200X-30R-A-2-F-2-A,FNPT 1/4,"0,11-0,7 бар",SS316,SPDTx2,"A - Сертификат только на клеммную коробку-Class I, Class II"
,PS2200X-04R-A-2-F-2-B,FNPT 1/4,"0,003-0,12 бар",SS316,SPDTx2,B - EC-Type Examination: ITRl/TAIWAN—Exd MB + H2T6
,PS2200X-10R-A-2-F-2-B,FNPT 1/4,"0,03-0,2 бар",SS316,SPDTx2,B - EC-Type Examination: ITRl/TAIWAN—Exd MB + H2T6
,PS2200X-20R-A-2-F-2-B,FNPT 1/4,"0,03-0,3 бар",SS316,SPDTx2,B - EC-Type Examination: ITRl/TAIWAN—Exd MB + H2T6
,PS2200X-30R-A-2-F-2-B,FNPT 1/4,"0,11-0,7 бар",SS316,SPDTx2,B - EC-Type Examination: ITRl/TAIWAN—Exd MB + H2T6
,PS2200X-04R-A-2-F-2-C,FNPT 1/4,"0,003-0,12 бар",SS316,SPDTx2,C - EC-Type Examination: ATEX-II2 GD Ex d IIB + H2 Gb T6 Ex tb IIIC Db T85
,PS2200X-10R-A-2-F-2-C,FNPT 1/4,"0,03-0,2 бар",SS316,SPDTx2,C - EC-Type Examination: ATEX-II2 GD Ex d IIB + H2 Gb T6 Ex tb IIIC Db T85
,PS2200X-20R-A-2-F-2-C,FNPT 1/4,"0,03-0,3 бар",SS316,SPDTx2,C - EC-Type Examination: ATEX-II2 GD Ex d IIB + H2 Gb T6 Ex tb IIIC Db T85
,PS2200X-30R-A-2-F-2-C,FNPT 1/4,"0,11-0,7 бар",SS316,SPDTx2,C - EC-Type Examination: ATEX-II2 GD Ex d IIB + H2 Gb T6 Ex tb IIIC Db T85
,PS2200X-04R-A-M-F-1-A,M20x1.5,"0,003-0,12 бар",SS316,SPDTx1,"A - Сертификат только на клеммную коробку-Class I, Class II"
,PS2200X-10R-A-M-F-1-A,M20x1.5,"0,03-0,2 бар",SS316,SPDTx1,"A - Сертификат только на клеммную коробку-Class I, Class II"
,PS2200X-20R-A-M-F-1-A,M20x1.5,"0,03-0,3 бар",SS316,SPDTx1,"A - Сертификат только на клеммную коробку-Class I, Class II"
,PS2200X-30R-A-M-F-1-A,M20x1.5,"0,11-0,7 бар",SS316,SPDTx1,"A - Сертификат только на клеммную коробку-Class I, Class II"
,PS2200X-04R-A-M-F-1-B,M20x1.5,"0,003-0,12 бар",SS316,SPDTx1,B - EC-Type Examination: ITRl/TAIWAN—Exd MB + H2T6
,PS2200X-10R-A-M-F-1-B,M20x1.5,"0,03-0,2 бар",SS316,SPDTx1,B - EC-Type Examination: ITRl/TAIWAN—Exd MB + H2T6
,PS2200X-20R-A-M-F-1-B,M20x1.5,"0,03-0,3 бар",SS316,SPDTx1,B - EC-Type Examination: ITRl/TAIWAN—Exd MB + H2T6
,PS2200X-30R-A-M-F-1-B,M20x1.5,"0,11-0,7 бар",SS316,SPDTx1,B - EC-Type Examination: ITRl/TAIWAN—Exd MB + H2T6
,PS2200X-04R-A-M-F-1-C,M20x1.5,"0,003-0,12 бар",SS316,SPDTx1,C - EC-Type Examination: ATEX-II2 GD Ex d IIB + H2 Gb T6 Ex tb IIIC Db T85
,PS2200X-10R-A-M-F-1-C,M20x1.5,"0,03-0,2 бар",SS316,SPDTx1,C - EC-Type Examination: ATEX-II2 GD Ex d IIB + H2 Gb T6 Ex tb IIIC Db T85
,PS2200X-20R-A-M-F-1-C,M20x1.5,"0,03-0,3 бар",SS316,SPDTx1,C - EC-Type Examination: ATEX-II2 GD Ex d IIB + H2 Gb T6 Ex tb IIIC Db T85
,PS2200X-30R-A-M-F-1-C,M20x1.5,"0,11-0,7 бар",SS316,SPDTx1,C - EC-Type Examination: ATEX-II2 GD Ex d IIB + H2 Gb T6 Ex tb IIIC Db T85
,PS2200X-04R-A-M-F-2-A,M20x1.5,"0,003-0,12 бар",SS316,SPDTx2,"A - Сертификат только на клеммную коробку-Class I, Class II"
,PS2200X-10R-A-M-F-2-A,M20x1.5,"0,03-0,2 бар",SS316,SPDTx2,"A - Сертификат только на клеммную коробку-Class I, Class II"
,PS2200X-20R-A-M-F-2-A,M20x1.5,"0,03-0,3 бар",SS316,SPDTx2,"A - Сертификат только на клеммную коробку-Class I, Class II"
,PS2200X-30R-A-M-F-2-A,M20x1.5,"0,11-0,7 бар",SS316,SPDTx2,"A - Сертификат только на клеммную коробку-Class I, Class II"
,PS2200X-04R-A-M-F-2-B,M20x1.5,"0,003-0,12 бар",SS316,SPDTx2,B - EC-Type Examination: ITRl/TAIWAN—Exd MB + H2T6
,PS2200X-10R-A-M-F-2-B,M20x1.5,"0,03-0,2 бар",SS316,SPDTx2,B - EC-Type Examination: ITRl/TAIWAN—Exd MB + H2T6
,PS2200X-20R-A-M-F-2-B,M20x1.5,"0,03-0,3 бар",SS316,SPDTx2,B - EC-Type Examination: ITRl/TAIWAN—Exd MB + H2T6
,PS2200X-30R-A-M-F-2-B,M20x1.5,"0,11-0,7 бар",SS316,SPDTx2,B - EC-Type Examination: ITRl/TAIWAN—Exd MB + H2T6
,PS2200X-04R-A-M-F-2-C,M20x1.5,"0,003-0,12 бар",SS316,SPDTx2,C - EC-Type Examination: ATEX-II2 GD Ex d IIB + H2 Gb T6 Ex tb IIIC Db T85
,PS2200X-10R-A-M-F-2-C,M20x1.5,"0,03-0,2 бар",SS316,SPDTx2,C - EC-Type Examination: ATEX-II2 GD Ex d IIB + H2 Gb T6 Ex tb IIIC Db T85
,PS2200X-20R-A-M-F-2-C,M20x1.5,"0,03-0,3 бар",SS316,SPDTx2,C - EC-Type Examination: ATEX-II2 GD Ex d IIB + H2 Gb T6 Ex tb IIIC Db T85
,PS2200X-30R-A-M-F-2-C,M20x1.5,"0,11-0,7 бар",SS316,SPDTx2,C - EC-Type Examination: ATEX-II2 GD Ex d IIB + H2 Gb T6 Ex tb IIIC Db T85
