#,Заказной код,Параметр:Заказной код:Подсоединение к процессу,Параметр:Заказной код:Диапазон давления,"Параметр:Заказной код:Детали, контактирующие со средой",Параметр:Заказной код:Микропереключатели,Параметр:Заказной код:Тип взрывозащиты
,PS2000X-10R-A-1-F-1-A,FNPT 1/2,"0,7-7 бар",SS316,SPDTx1,"A - Сертификат только на клеммную коробку-Class I, Class II"
,PS2000X-20R-A-1-F-1-A,FNPT 1/2,"2,4-13,8 бар",SS316,SPDTx1,"A - Сертификат только на клеммную коробку-Class I, Class II"
,PS2000X-30R-A-1-F-1-A,FNPT 1/2,"3,4-20,7 бар",SS316,SPDTx1,"A - Сертификат только на клеммную коробку-Class I, Class II"
,PS2000X-60R-A-1-F-1-A,FNPT 1/2,"6,9-41,4 бар",SS316,SPDTx1,"A - Сертификат только на клеммную коробку-Class I, Class II"
,PS2000X-130R-A-1-F-1-A,FNPT 1/2,"13,8-90 бар",SS316,SPDTx1,"A - Сертификат только на клеммную коробку-Class I, Class II"
,PS2000X-240R-A-1-F-1-A,FNPT 1/2,"20,7-165,5 бар",SS316,SPDTx1,"A - Сертификат только на клеммную коробку-Class I, Class II"
,PS2000X-10R-A-1-F-1-B,FNPT 1/2,"0,7-7 бар",SS316,SPDTx1,B - EC-Type Examination: ITRl/TAIWAN—Exd MB + H2T6
,PS2000X-20R-A-1-F-1-B,FNPT 1/2,"2,4-13,8 бар",SS316,SPDTx1,B - EC-Type Examination: ITRl/TAIWAN—Exd MB + H2T6
,PS2000X-30R-A-1-F-1-B,FNPT 1/2,"3,4-20,7 бар",SS316,SPDTx1,B - EC-Type Examination: ITRl/TAIWAN—Exd MB + H2T6
,PS2000X-60R-A-1-F-1-B,FNPT 1/2,"6,9-41,4 бар",SS316,SPDTx1,B - EC-Type Examination: ITRl/TAIWAN—Exd MB + H2T6
,PS2000X-130R-A-1-F-1-B,FNPT 1/2,"13,8-90 бар",SS316,SPDTx1,B - EC-Type Examination: ITRl/TAIWAN—Exd MB + H2T6
,PS2000X-240R-A-1-F-1-B,FNPT 1/2,"20,7-165,5 бар",SS316,SPDTx1,B - EC-Type Examination: ITRl/TAIWAN—Exd MB + H2T6
,PS2000X-10R-A-1-F-1-C,FNPT 1/2,"0,7-7 бар",SS316,SPDTx1,C - EC-Type Examination: ATEX-II2 GD Ex d IIB + H2 Gb T6 Ex tb IIIC Db T85
,PS2000X-20R-A-1-F-1-C,FNPT 1/2,"2,4-13,8 бар",SS316,SPDTx1,C - EC-Type Examination: ATEX-II2 GD Ex d IIB + H2 Gb T6 Ex tb IIIC Db T85
,PS2000X-30R-A-1-F-1-C,FNPT 1/2,"3,4-20,7 бар",SS316,SPDTx1,C - EC-Type Examination: ATEX-II2 GD Ex d IIB + H2 Gb T6 Ex tb IIIC Db T85
,PS2000X-60R-A-1-F-1-C,FNPT 1/2,"6,9-41,4 бар",SS316,SPDTx1,C - EC-Type Examination: ATEX-II2 GD Ex d IIB + H2 Gb T6 Ex tb IIIC Db T85
,PS2000X-130R-A-1-F-1-C,FNPT 1/2,"13,8-90 бар",SS316,SPDTx1,C - EC-Type Examination: ATEX-II2 GD Ex d IIB + H2 Gb T6 Ex tb IIIC Db T85
,PS2000X-240R-A-1-F-1-C,FNPT 1/2,"20,7-165,5 бар",SS316,SPDTx1,C - EC-Type Examination: ATEX-II2 GD Ex d IIB + H2 Gb T6 Ex tb IIIC Db T85
,PS2000X-10R-A-1-F-2-A,FNPT 1/2,"0,7-7 бар",SS316,SPDTx2,"A - Сертификат только на клеммную коробку-Class I, Class II"
,PS2000X-20R-A-1-F-2-A,FNPT 1/2,"2,4-13,8 бар",SS316,SPDTx2,"A - Сертификат только на клеммную коробку-Class I, Class II"
,PS2000X-30R-A-1-F-2-A,FNPT 1/2,"3,4-20,7 бар",SS316,SPDTx2,"A - Сертификат только на клеммную коробку-Class I, Class II"
,PS2000X-60R-A-1-F-2-A,FNPT 1/2,"6,9-41,4 бар",SS316,SPDTx2,"A - Сертификат только на клеммную коробку-Class I, Class II"
,PS2000X-130R-A-1-F-2-A,FNPT 1/2,"13,8-90 бар",SS316,SPDTx2,"A - Сертификат только на клеммную коробку-Class I, Class II"
,PS2000X-240R-A-1-F-2-A,FNPT 1/2,"20,7-165,5 бар",SS316,SPDTx2,"A - Сертификат только на клеммную коробку-Class I, Class II"
,PS2000X-10R-A-1-F-2-B,FNPT 1/2,"0,7-7 бар",SS316,SPDTx2,B - EC-Type Examination: ITRl/TAIWAN—Exd MB + H2T6
,PS2000X-20R-A-1-F-2-B,FNPT 1/2,"2,4-13,8 бар",SS316,SPDTx2,B - EC-Type Examination: ITRl/TAIWAN—Exd MB + H2T6
,PS2000X-30R-A-1-F-2-B,FNPT 1/2,"3,4-20,7 бар",SS316,SPDTx2,B - EC-Type Examination: ITRl/TAIWAN—Exd MB + H2T6
,PS2000X-60R-A-1-F-2-B,FNPT 1/2,"6,9-41,4 бар",SS316,SPDTx2,B - EC-Type Examination: ITRl/TAIWAN—Exd MB + H2T6
,PS2000X-130R-A-1-F-2-B,FNPT 1/2,"13,8-90 бар",SS316,SPDTx2,B - EC-Type Examination: ITRl/TAIWAN—Exd MB + H2T6
,PS2000X-240R-A-1-F-2-B,FNPT 1/2,"20,7-165,5 бар",SS316,SPDTx2,B - EC-Type Examination: ITRl/TAIWAN—Exd MB + H2T6
