pagetitle,15;16;17;21;33;80;87;96;6;19
"G40-C-8G-150A-25mbar";"";"подсоединение снизу";"от 0 до 25мбар";"G 1/2";"A";"150мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-8G-150A-40mbar";"";"подсоединение снизу";"от 0 до 40мбар";"G 1/2";"A";"150мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-8G-150A-60mbar";"";"подсоединение снизу";"от 0 до 60мбар";"G 1/2";"A";"150мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-8G-150A-100mbar";"";"подсоединение снизу";"от 0 до 100мбар";"G 1/2";"A";"150мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-8G-150A-160mbar";"";"подсоединение снизу";"от 0 до 160мбар";"G 1/2";"A";"150мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-8G-150A-250mbar";"";"подсоединение снизу";"от 0 до 250мбар";"G 1/2";"A";"150мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-8G-150A-400mbar";"";"подсоединение снизу";"от 0 до 400мбар";"G 1/2";"A";"150мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-8G-150A-0.6bar";"";"подсоединение снизу";"от 0 до 0.6бар";"G 1/2";"A";"150мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-8G-150A-1bar";"";"подсоединение снизу";"от 0 до 1бар";"G 1/2";"A";"150мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-8G-63B-16mbar";"";"подсоединение сзади по центру";"от 0 до 16мбар";"G 1/2";"B";"63мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8G-63B-25mbar";"";"подсоединение сзади по центру";"от 0 до 25мбар";"G 1/2";"B";"63мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8G-63B-40mbar";"";"подсоединение сзади по центру";"от 0 до 40мбар";"G 1/2";"B";"63мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8G-63B-60mbar";"";"подсоединение сзади по центру";"от 0 до 60мбар";"G 1/2";"B";"63мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8G-63B-100mbar";"";"подсоединение сзади по центру";"от 0 до 100мбар";"G 1/2";"B";"63мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8G-63B-160mbar";"";"подсоединение сзади по центру";"от 0 до 160мбар";"G 1/2";"B";"63мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8G-63B-250mbar";"";"подсоединение сзади по центру";"от 0 до 250мбар";"G 1/2";"B";"63мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8G-63B-400mbar";"";"подсоединение сзади по центру";"от 0 до 400мбар";"G 1/2";"B";"63мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8G-63B-0.6bar";"";"подсоединение сзади по центру";"от 0 до 0.6бар";"G 1/2";"B";"63мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8G-63B-1bar";"";"подсоединение сзади по центру";"от 0 до 1бар";"G 1/2";"B";"63мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8G-100B-16mbar";"";"подсоединение сзади по центру";"от 0 до 16мбар";"G 1/2";"B";"100мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8G-100B-25mbar";"";"подсоединение сзади по центру";"от 0 до 25мбар";"G 1/2";"B";"100мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8G-100B-40mbar";"";"подсоединение сзади по центру";"от 0 до 40мбар";"G 1/2";"B";"100мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8G-100B-60mbar";"";"подсоединение сзади по центру";"от 0 до 60мбар";"G 1/2";"B";"100мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8G-100B-100mbar";"";"подсоединение сзади по центру";"от 0 до 100мбар";"G 1/2";"B";"100мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8G-100B-160mbar";"";"подсоединение сзади по центру";"от 0 до 160мбар";"G 1/2";"B";"100мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8G-100B-250mbar";"";"подсоединение сзади по центру";"от 0 до 250мбар";"G 1/2";"B";"100мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8G-100B-400mbar";"";"подсоединение сзади по центру";"от 0 до 400мбар";"G 1/2";"B";"100мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8G-100B-0.6bar";"";"подсоединение сзади по центру";"от 0 до 0.6бар";"G 1/2";"B";"100мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8G-100B-1bar";"";"подсоединение сзади по центру";"от 0 до 1бар";"G 1/2";"B";"100мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8G-150B-16mbar";"";"подсоединение сзади по центру";"от 0 до 16мбар";"G 1/2";"B";"150мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8G-150B-25mbar";"";"подсоединение сзади по центру";"от 0 до 25мбар";"G 1/2";"B";"150мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8G-150B-40mbar";"";"подсоединение сзади по центру";"от 0 до 40мбар";"G 1/2";"B";"150мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8G-150B-60mbar";"";"подсоединение сзади по центру";"от 0 до 60мбар";"G 1/2";"B";"150мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8G-150B-100mbar";"";"подсоединение сзади по центру";"от 0 до 100мбар";"G 1/2";"B";"150мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8G-150B-160mbar";"";"подсоединение сзади по центру";"от 0 до 160мбар";"G 1/2";"B";"150мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8G-150B-250mbar";"";"подсоединение сзади по центру";"от 0 до 250мбар";"G 1/2";"B";"150мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8G-150B-400mbar";"";"подсоединение сзади по центру";"от 0 до 400мбар";"G 1/2";"B";"150мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8G-150B-0.6bar";"";"подсоединение сзади по центру";"от 0 до 0.6бар";"G 1/2";"B";"150мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8G-150B-1bar";"";"подсоединение сзади по центру";"от 0 до 1бар";"G 1/2";"B";"150мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8N-63A-16mbar";"";"подсоединение снизу";"от 0 до 16мбар";"NPT 1/2";"A";"63мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-8N-63A-25mbar";"";"подсоединение снизу";"от 0 до 25мбар";"NPT 1/2";"A";"63мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-8N-63A-40mbar";"";"подсоединение снизу";"от 0 до 40мбар";"NPT 1/2";"A";"63мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-8N-63A-60mbar";"";"подсоединение снизу";"от 0 до 60мбар";"NPT 1/2";"A";"63мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-8N-63A-100mbar";"";"подсоединение снизу";"от 0 до 100мбар";"NPT 1/2";"A";"63мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-8N-63A-160mbar";"";"подсоединение снизу";"от 0 до 160мбар";"NPT 1/2";"A";"63мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-8N-63A-250mbar";"";"подсоединение снизу";"от 0 до 250мбар";"NPT 1/2";"A";"63мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-8N-63A-400mbar";"";"подсоединение снизу";"от 0 до 400мбар";"NPT 1/2";"A";"63мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-8N-63A-0.6bar";"";"подсоединение снизу";"от 0 до 0.6бар";"NPT 1/2";"A";"63мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-8N-63A-1bar";"";"подсоединение снизу";"от 0 до 1бар";"NPT 1/2";"A";"63мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-8N-100A-16mbar";"";"подсоединение снизу";"от 0 до 16мбар";"NPT 1/2";"A";"100мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-8N-100A-25mbar";"";"подсоединение снизу";"от 0 до 25мбар";"NPT 1/2";"A";"100мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-8N-100A-40mbar";"";"подсоединение снизу";"от 0 до 40мбар";"NPT 1/2";"A";"100мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-8N-100A-60mbar";"";"подсоединение снизу";"от 0 до 60мбар";"NPT 1/2";"A";"100мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-8N-100A-100mbar";"";"подсоединение снизу";"от 0 до 100мбар";"NPT 1/2";"A";"100мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-8N-100A-160mbar";"";"подсоединение снизу";"от 0 до 160мбар";"NPT 1/2";"A";"100мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-8N-100A-250mbar";"";"подсоединение снизу";"от 0 до 250мбар";"NPT 1/2";"A";"100мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-8N-100A-400mbar";"";"подсоединение снизу";"от 0 до 400мбар";"NPT 1/2";"A";"100мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-8N-100A-0.6bar";"";"подсоединение снизу";"от 0 до 0.6бар";"NPT 1/2";"A";"100мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-8N-100A-1bar";"";"подсоединение снизу";"от 0 до 1бар";"NPT 1/2";"A";"100мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-8N-150A-16mbar";"";"подсоединение снизу";"от 0 до 16мбар";"NPT 1/2";"A";"150мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-8N-150A-25mbar";"";"подсоединение снизу";"от 0 до 25мбар";"NPT 1/2";"A";"150мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-8N-150A-40mbar";"";"подсоединение снизу";"от 0 до 40мбар";"NPT 1/2";"A";"150мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-8N-150A-60mbar";"";"подсоединение снизу";"от 0 до 60мбар";"NPT 1/2";"A";"150мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-8N-150A-100mbar";"";"подсоединение снизу";"от 0 до 100мбар";"NPT 1/2";"A";"150мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-8N-150A-160mbar";"";"подсоединение снизу";"от 0 до 160мбар";"NPT 1/2";"A";"150мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-8N-150A-250mbar";"";"подсоединение снизу";"от 0 до 250мбар";"NPT 1/2";"A";"150мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-8N-150A-400mbar";"";"подсоединение снизу";"от 0 до 400мбар";"NPT 1/2";"A";"150мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-8N-150A-0.6bar";"";"подсоединение снизу";"от 0 до 0.6бар";"NPT 1/2";"A";"150мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-8N-150A-1bar";"";"подсоединение снизу";"от 0 до 1бар";"NPT 1/2";"A";"150мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-8N-63B-16mbar";"";"подсоединение сзади по центру";"от 0 до 16мбар";"NPT 1/2";"B";"63мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8N-63B-25mbar";"";"подсоединение сзади по центру";"от 0 до 25мбар";"NPT 1/2";"B";"63мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8N-63B-40mbar";"";"подсоединение сзади по центру";"от 0 до 40мбар";"NPT 1/2";"B";"63мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8N-63B-60mbar";"";"подсоединение сзади по центру";"от 0 до 60мбар";"NPT 1/2";"B";"63мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8N-63B-100mbar";"";"подсоединение сзади по центру";"от 0 до 100мбар";"NPT 1/2";"B";"63мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8N-63B-160mbar";"";"подсоединение сзади по центру";"от 0 до 160мбар";"NPT 1/2";"B";"63мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8N-63B-250mbar";"";"подсоединение сзади по центру";"от 0 до 250мбар";"NPT 1/2";"B";"63мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8N-63B-400mbar";"";"подсоединение сзади по центру";"от 0 до 400мбар";"NPT 1/2";"B";"63мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8N-63B-0.6bar";"";"подсоединение сзади по центру";"от 0 до 0.6бар";"NPT 1/2";"B";"63мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8N-63B-1bar";"";"подсоединение сзади по центру";"от 0 до 1бар";"NPT 1/2";"B";"63мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8N-100B-16mbar";"";"подсоединение сзади по центру";"от 0 до 16мбар";"NPT 1/2";"B";"100мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8N-100B-25mbar";"";"подсоединение сзади по центру";"от 0 до 25мбар";"NPT 1/2";"B";"100мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8N-100B-40mbar";"";"подсоединение сзади по центру";"от 0 до 40мбар";"NPT 1/2";"B";"100мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8N-100B-60mbar";"";"подсоединение сзади по центру";"от 0 до 60мбар";"NPT 1/2";"B";"100мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8N-100B-100mbar";"";"подсоединение сзади по центру";"от 0 до 100мбар";"NPT 1/2";"B";"100мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8N-100B-160mbar";"";"подсоединение сзади по центру";"от 0 до 160мбар";"NPT 1/2";"B";"100мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8N-100B-250mbar";"";"подсоединение сзади по центру";"от 0 до 250мбар";"NPT 1/2";"B";"100мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8N-100B-400mbar";"";"подсоединение сзади по центру";"от 0 до 400мбар";"NPT 1/2";"B";"100мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8N-100B-0.6bar";"";"подсоединение сзади по центру";"от 0 до 0.6бар";"NPT 1/2";"B";"100мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8N-100B-1bar";"";"подсоединение сзади по центру";"от 0 до 1бар";"NPT 1/2";"B";"100мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8N-150B-16mbar";"";"подсоединение сзади по центру";"от 0 до 16мбар";"NPT 1/2";"B";"150мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8N-150B-25mbar";"";"подсоединение сзади по центру";"от 0 до 25мбар";"NPT 1/2";"B";"150мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8N-150B-40mbar";"";"подсоединение сзади по центру";"от 0 до 40мбар";"NPT 1/2";"B";"150мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8N-150B-60mbar";"";"подсоединение сзади по центру";"от 0 до 60мбар";"NPT 1/2";"B";"150мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8N-150B-100mbar";"";"подсоединение сзади по центру";"от 0 до 100мбар";"NPT 1/2";"B";"150мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8N-150B-160mbar";"";"подсоединение сзади по центру";"от 0 до 160мбар";"NPT 1/2";"B";"150мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8N-150B-250mbar";"";"подсоединение сзади по центру";"от 0 до 250мбар";"NPT 1/2";"B";"150мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8N-150B-400mbar";"";"подсоединение сзади по центру";"от 0 до 400мбар";"NPT 1/2";"B";"150мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8N-150B-0.6bar";"";"подсоединение сзади по центру";"от 0 до 0.6бар";"NPT 1/2";"B";"150мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-8N-150B-1bar";"";"подсоединение сзади по центру";"от 0 до 1бар";"NPT 1/2";"B";"150мм";"нет";"B-подсоединение сзади по центру<br><img src=assets/images/g40-B.png>";"assets/images/g40-B.png";;
"G40-C-20M-63A-16mbar";"";"подсоединение снизу";"от 0 до 16мбар";"M20x1.5";"A";"63мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-20M-63A-25mbar";"";"подсоединение снизу";"от 0 до 25мбар";"M20x1.5";"A";"63мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-20M-63A-40mbar";"";"подсоединение снизу";"от 0 до 40мбар";"M20x1.5";"A";"63мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-20M-63A-60mbar";"";"подсоединение снизу";"от 0 до 60мбар";"M20x1.5";"A";"63мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-20M-63A-100mbar";"";"подсоединение снизу";"от 0 до 100мбар";"M20x1.5";"A";"63мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-20M-63A-160mbar";"";"подсоединение снизу";"от 0 до 160мбар";"M20x1.5";"A";"63мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-20M-63A-250mbar";"";"подсоединение снизу";"от 0 до 250мбар";"M20x1.5";"A";"63мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
"G40-C-20M-63A-400mbar";"";"подсоединение снизу";"от 0 до 400мбар";"M20x1.5";"A";"63мм";"нет";"A-подсоединение снизу<br><img src=assets/images/g40-A.png>";"assets/images/g40-A.png";;
