#,Заказной код,Параметр:Заказной код:Диапазон давления,"Параметр:Заказной код:Детали, контактирующие со средой",Параметр:Заказной код:Подсоединение к процессу
,PS2000W-10R-A-1-F-2,0.7-7 бар,SS316,"FNPT 1/2"""
,PS2000W-20R-A-1-F-2,2-14 бар,SS316,"FNPT 1/2"""
,PS2000W-30R-A-1-F-2,3-21 бар,SS316,"FNPT 1/2"""
,PS2000W-60R-A-1-F-2,7-41 бар,SS316,"FNPT 1/2"""
,PS2000W-130R-A-1-F-2,7-90 бар,SS316,"FNPT 1/2"""
,PS2000W-240R-A-1-F-2,21-165 бар,SS316,"FNPT 1/2"""
,PS2000W-10R-A-2-F-2,0.7-7 бар,SS316,"FNPT 1/4"""
,PS2000W-20R-A-2-F-2,2-14 бар,SS316,"FNPT 1/4"""
,PS2000W-30R-A-2-F-2,3-21 бар,SS316,"FNPT 1/4"""
,PS2000W-60R-A-2-F-2,7-41 бар,SS316,"FNPT 1/4"""
,PS2000W-130R-A-2-F-2,7-90 бар,SS316,"FNPT 1/4"""
,PS2000W-240R-A-2-F-2,21-165 бар,SS316,"FNPT 1/4"""
,PS2000W-240R-A-M-F-2,21-165 бар,SS316,M20x1.5
