"#","Код","Параметр:Код:Давление","Параметр:Код:Подсоединение","Параметр:Код:Размер шкалы","Параметр:Код:Поверка","Параметр:Код:Конфигурация"
,"G40-C-8G-100A-400mbar-VE","от 0 до 400мбар","G 1/2","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-100A-0.6bar-VE","от 0 до 0.6бар","G 1/2","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-100A-1bar-VE","от 0 до 1бар","G 1/2","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-150A-16mbar-VE","от 0 до 16мбар","G 1/2","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-150A-25mbar-VE","от 0 до 25мбар","G 1/2","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-150A-40mbar-VE","от 0 до 40мбар","G 1/2","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-150A-60mbar-VE","от 0 до 60мбар","G 1/2","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-150A-100mbar-VE","от 0 до 100мбар","G 1/2","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-150A-160mbar-VE","от 0 до 160мбар","G 1/2","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-150A-250mbar-VE","от 0 до 250мбар","G 1/2","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-150A-400mbar-VE","от 0 до 400мбар","G 1/2","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-150A-0.6bar-VE","от 0 до 0.6бар","G 1/2","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-150A-1bar-VE","от 0 до 1бар","G 1/2","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-63B-16mbar-VE","от 0 до 16мбар","G 1/2","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-63B-25mbar-VE","от 0 до 25мбар","G 1/2","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-63B-40mbar-VE","от 0 до 40мбар","G 1/2","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-63B-60mbar-VE","от 0 до 60мбар","G 1/2","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-63B-100mbar-VE","от 0 до 100мбар","G 1/2","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-63B-160mbar-VE","от 0 до 160мбар","G 1/2","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-63B-250mbar-VE","от 0 до 250мбар","G 1/2","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-63B-400mbar-VE","от 0 до 400мбар","G 1/2","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-63B-0.6bar-VE","от 0 до 0.6бар","G 1/2","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-63B-1bar-VE","от 0 до 1бар","G 1/2","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-100B-16mbar-VE","от 0 до 16мбар","G 1/2","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-100B-25mbar-VE","от 0 до 25мбар","G 1/2","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-100B-40mbar-VE","от 0 до 40мбар","G 1/2","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-100B-60mbar-VE","от 0 до 60мбар","G 1/2","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-100B-100mbar-VE","от 0 до 100мбар","G 1/2","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-100B-160mbar-VE","от 0 до 160мбар","G 1/2","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-100B-250mbar-VE","от 0 до 250мбар","G 1/2","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-100B-400mbar-VE","от 0 до 400мбар","G 1/2","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-100B-0.6bar-VE","от 0 до 0.6бар","G 1/2","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-100B-1bar-VE","от 0 до 1бар","G 1/2","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-150B-16mbar-VE","от 0 до 16мбар","G 1/2","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-150B-25mbar-VE","от 0 до 25мбар","G 1/2","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-150B-40mbar-VE","от 0 до 40мбар","G 1/2","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-150B-60mbar-VE","от 0 до 60мбар","G 1/2","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-150B-100mbar-VE","от 0 до 100мбар","G 1/2","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-150B-160mbar-VE","от 0 до 160мбар","G 1/2","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-150B-250mbar-VE","от 0 до 250мбар","G 1/2","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-150B-400mbar-VE","от 0 до 400мбар","G 1/2","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-150B-0.6bar-VE","от 0 до 0.6бар","G 1/2","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-150B-1bar-VE","от 0 до 1бар","G 1/2","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-63A-16mbar-VE","от 0 до 16мбар","NPT 1/2","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-63A-25mbar-VE","от 0 до 25мбар","NPT 1/2","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-63A-40mbar-VE","от 0 до 40мбар","NPT 1/2","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-63A-60mbar-VE","от 0 до 60мбар","NPT 1/2","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-63A-100mbar-VE","от 0 до 100мбар","NPT 1/2","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-63A-160mbar-VE","от 0 до 160мбар","NPT 1/2","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-63A-250mbar-VE","от 0 до 250мбар","NPT 1/2","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-63A-400mbar-VE","от 0 до 400мбар","NPT 1/2","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-63A-0.6bar-VE","от 0 до 0.6бар","NPT 1/2","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-63A-1bar-VE","от 0 до 1бар","NPT 1/2","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-100A-16mbar-VE","от 0 до 16мбар","NPT 1/2","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-100A-25mbar-VE","от 0 до 25мбар","NPT 1/2","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-100A-40mbar-VE","от 0 до 40мбар","NPT 1/2","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-100A-60mbar-VE","от 0 до 60мбар","NPT 1/2","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-100A-100mbar-VE","от 0 до 100мбар","NPT 1/2","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-100A-160mbar-VE","от 0 до 160мбар","NPT 1/2","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-100A-250mbar-VE","от 0 до 250мбар","NPT 1/2","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-100A-400mbar-VE","от 0 до 400мбар","NPT 1/2","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-100A-0.6bar-VE","от 0 до 0.6бар","NPT 1/2","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-100A-1bar-VE","от 0 до 1бар","NPT 1/2","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-150A-16mbar-VE","от 0 до 16мбар","NPT 1/2","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-150A-25mbar-VE","от 0 до 25мбар","NPT 1/2","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-150A-40mbar-VE","от 0 до 40мбар","NPT 1/2","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-150A-60mbar-VE","от 0 до 60мбар","NPT 1/2","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-150A-100mbar-VE","от 0 до 100мбар","NPT 1/2","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-150A-160mbar-VE","от 0 до 160мбар","NPT 1/2","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-150A-250mbar-VE","от 0 до 250мбар","NPT 1/2","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-150A-400mbar-VE","от 0 до 400мбар","NPT 1/2","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-150A-0.6bar-VE","от 0 до 0.6бар","NPT 1/2","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-150A-1bar-VE","от 0 до 1бар","NPT 1/2","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-63B-16mbar-VE","от 0 до 16мбар","NPT 1/2","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-63B-25mbar-VE","от 0 до 25мбар","NPT 1/2","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-63B-40mbar-VE","от 0 до 40мбар","NPT 1/2","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-63B-60mbar-VE","от 0 до 60мбар","NPT 1/2","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-63B-100mbar-VE","от 0 до 100мбар","NPT 1/2","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-63B-160mbar-VE","от 0 до 160мбар","NPT 1/2","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-63B-250mbar-VE","от 0 до 250мбар","NPT 1/2","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-63B-400mbar-VE","от 0 до 400мбар","NPT 1/2","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-63B-0.6bar-VE","от 0 до 0.6бар","NPT 1/2","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-63B-1bar-VE","от 0 до 1бар","NPT 1/2","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-100B-16mbar-VE","от 0 до 16мбар","NPT 1/2","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-100B-25mbar-VE","от 0 до 25мбар","NPT 1/2","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-100B-40mbar-VE","от 0 до 40мбар","NPT 1/2","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-100B-60mbar-VE","от 0 до 60мбар","NPT 1/2","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-100B-100mbar-VE","от 0 до 100мбар","NPT 1/2","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-100B-160mbar-VE","от 0 до 160мбар","NPT 1/2","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-100B-250mbar-VE","от 0 до 250мбар","NPT 1/2","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-100B-400mbar-VE","от 0 до 400мбар","NPT 1/2","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-100B-0.6bar-VE","от 0 до 0.6бар","NPT 1/2","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-100B-1bar-VE","от 0 до 1бар","NPT 1/2","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-150B-16mbar-VE","от 0 до 16мбар","NPT 1/2","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-150B-25mbar-VE","от 0 до 25мбар","NPT 1/2","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-150B-40mbar-VE","от 0 до 40мбар","NPT 1/2","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-150B-60mbar-VE","от 0 до 60мбар","NPT 1/2","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-150B-100mbar-VE","от 0 до 100мбар","NPT 1/2","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-150B-160mbar-VE","от 0 до 160мбар","NPT 1/2","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-150B-250mbar-VE","от 0 до 250мбар","NPT 1/2","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-150B-400mbar-VE","от 0 до 400мбар","NPT 1/2","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-150B-0.6bar-VE","от 0 до 0.6бар","NPT 1/2","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-150B-1bar-VE","от 0 до 1бар","NPT 1/2","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-63A-16mbar-VE","от 0 до 16мбар","M20x1.5","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-63A-25mbar-VE","от 0 до 25мбар","M20x1.5","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-63A-40mbar-VE","от 0 до 40мбар","M20x1.5","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-63A-60mbar-VE","от 0 до 60мбар","M20x1.5","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-63A-100mbar-VE","от 0 до 100мбар","M20x1.5","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-63A-160mbar-VE","от 0 до 160мбар","M20x1.5","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-63A-250mbar-VE","от 0 до 250мбар","M20x1.5","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-63A-400mbar-VE","от 0 до 400мбар","M20x1.5","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-63A-0.6bar-VE","от 0 до 0.6бар","M20x1.5","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-63A-1bar-VE","от 0 до 1бар","M20x1.5","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-100A-16mbar-VE","от 0 до 16мбар","M20x1.5","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-100A-25mbar-VE","от 0 до 25мбар","M20x1.5","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-100A-40mbar-VE","от 0 до 40мбар","M20x1.5","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-100A-60mbar-VE","от 0 до 60мбар","M20x1.5","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-100A-100mbar-VE","от 0 до 100мбар","M20x1.5","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-100A-160mbar-VE","от 0 до 160мбар","M20x1.5","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-100A-250mbar-VE","от 0 до 250мбар","M20x1.5","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-100A-400mbar-VE","от 0 до 400мбар","M20x1.5","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-100A-0.6bar-VE","от 0 до 0.6бар","M20x1.5","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-100A-1bar-VE","от 0 до 1бар","M20x1.5","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-150A-16mbar-VE","от 0 до 16мбар","M20x1.5","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-150A-25mbar-VE","от 0 до 25мбар","M20x1.5","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-150A-40mbar-VE","от 0 до 40мбар","M20x1.5","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-150A-60mbar-VE","от 0 до 60мбар","M20x1.5","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-150A-100mbar-VE","от 0 до 100мбар","M20x1.5","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-150A-160mbar-VE","от 0 до 160мбар","M20x1.5","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-150A-250mbar-VE","от 0 до 250мбар","M20x1.5","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-150A-400mbar-VE","от 0 до 400мбар","M20x1.5","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-150A-0.6bar-VE","от 0 до 0.6бар","M20x1.5","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-150A-1bar-VE","от 0 до 1бар","M20x1.5","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-63B-16mbar-VE","от 0 до 16мбар","M20x1.5","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-63B-25mbar-VE","от 0 до 25мбар","M20x1.5","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-63B-40mbar-VE","от 0 до 40мбар","M20x1.5","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-63B-60mbar-VE","от 0 до 60мбар","M20x1.5","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-63B-100mbar-VE","от 0 до 100мбар","M20x1.5","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-63B-160mbar-VE","от 0 до 160мбар","M20x1.5","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-63B-250mbar-VE","от 0 до 250мбар","M20x1.5","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-63B-400mbar-VE","от 0 до 400мбар","M20x1.5","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-63B-0.6bar-VE","от 0 до 0.6бар","M20x1.5","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-63B-1bar-VE","от 0 до 1бар","M20x1.5","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-100B-16mbar-VE","от 0 до 16мбар","M20x1.5","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-100B-25mbar-VE","от 0 до 25мбар","M20x1.5","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-100B-40mbar-VE","от 0 до 40мбар","M20x1.5","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-100B-60mbar-VE","от 0 до 60мбар","M20x1.5","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-100B-100mbar-VE","от 0 до 100мбар","M20x1.5","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-100B-160mbar-VE","от 0 до 160мбар","M20x1.5","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-100B-250mbar-VE","от 0 до 250мбар","M20x1.5","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-100B-400mbar-VE","от 0 до 400мбар","M20x1.5","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-100B-0.6bar-VE","от 0 до 0.6бар","M20x1.5","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-100B-1bar-VE","от 0 до 1бар","M20x1.5","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-150B-16mbar-VE","от 0 до 16мбар","M20x1.5","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-150B-25mbar-VE","от 0 до 25мбар","M20x1.5","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-150B-40mbar-VE","от 0 до 40мбар","M20x1.5","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-150B-60mbar-VE","от 0 до 60мбар","M20x1.5","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-150B-100mbar-VE","от 0 до 100мбар","M20x1.5","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-150B-160mbar-VE","от 0 до 160мбар","M20x1.5","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-150B-250mbar-VE","от 0 до 250мбар","M20x1.5","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-150B-400mbar-VE","от 0 до 400мбар","M20x1.5","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-150B-0.6bar-VE","от 0 до 0.6бар","M20x1.5","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-150B-1bar-VE","от 0 до 1бар","M20x1.5","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-63A-1.6kPa-VE","от 0 до 1.6кПа","G 1/2","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-63A-2.5kPa-VE","от 0 до 2.5кПа","G 1/2","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-63A-4kPa-VE","от 0 до 4кПа","G 1/2","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-63A-6kPa-VE","от 0 до 6кПа","G 1/2","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-63A-10kPa-VE","от 0 до 10кПа","G 1/2","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-63A-16kPa-VE","от 0 до 16кПа","G 1/2","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-63A-25kPa-VE","от 0 до 25кПа","G 1/2","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-63A-40kPa-VE","от 0 до 40кПа","G 1/2","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-63A-60kPa-VE","от 0 до 60кПа","G 1/2","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-63A-100kPa-VE","от 0 до 100кПа","G 1/2","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-100A-1.6kPa-VE","от 0 до 1.6кПа","G 1/2","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-100A-2.5kPa-VE","от 0 до 2.5кПа","G 1/2","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-100A-4kPa-VE","от 0 до 4кПа","G 1/2","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-100A-6kPa-VE","от 0 до 6кПа","G 1/2","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
