#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Давление,Параметр:Заказной код:Выходной сигнал,Параметр:Заказной код:Разъем,Параметр:Заказной код:Точность,Параметр:Заказной код:Точность,Параметр:Заказной код:Разделительная мембрана
,PTAA-S-4N-V0bar-1A,NPT 1/4,от -1 до 0bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-4N-V1bar-1A,NPT 1/4,от -1 до 1bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-4N-0.1bar-1A,NPT 1/4,от 0 до 0.1bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-4N-1bar-1A,NPT 1/4,от 0 до 1bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-4N-6bar-1A,NPT 1/4,от 0 до 6bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-4N-10bar-1A,NPT 1/4,от 0 до 10bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-4N-16bar-1A,NPT 1/4,от 0 до 16bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-4N-20bar-1A,NPT 1/4,от 0 до 20bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-4N-50bar-1A,NPT 1/4,от 0 до 50bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-4N-60bar-1A,NPT 1/4,от 0 до 60bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-4N-100bar-1A,NPT 1/4,от 0 до 100bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-4N-160bar-1A,NPT 1/4,от 0 до 160bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-4N-250bar-1A,NPT 1/4,от 0 до 250bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-4N-350bar-1A,NPT 1/4,от 0 до 350bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-4N-400bar-1A,NPT 1/4,от 0 до 400bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-4N-600bar-1A,NPT 1/4,от 0 до 600bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-4N-800bar-1A,NPT 1/4,от 0 до 800bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-8N-V0bar-1A,NPT 1/2,от -1 до 0bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-8N-V1bar-1A,NPT 1/2,от -1 до 1bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-8N-0.1bar-1A,NPT 1/2,от 0 до 0.1bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-8N-1bar-1A,NPT 1/2,от 0 до 1bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-8N-6bar-1A,NPT 1/2,от 0 до 6bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-8N-10bar-1A,NPT 1/2,от 0 до 10bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-8N-16bar-1A,NPT 1/2,от 0 до 16bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-8N-20bar-1A,NPT 1/2,от 0 до 20bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-8N-50bar-1A,NPT 1/2,от 0 до 50bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-8N-60bar-1A,NPT 1/2,от 0 до 60bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-8N-100bar-1A,NPT 1/2,от 0 до 100bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-8N-160bar-1A,NPT 1/2,от 0 до 160bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-8N-250bar-1A,NPT 1/2,от 0 до 250bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-8N-350bar-1A,NPT 1/2,от 0 до 350bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-8N-400bar-1A,NPT 1/2,от 0 до 400bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-8N-600bar-1A,NPT 1/2,от 0 до 600bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-8N-800bar-1A,NPT 1/2,от 0 до 800bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-20M-V0bar-1A,M20x1.5,от -1 до 0bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-20M-V1bar-1A,M20x1.5,от -1 до 1bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-20M-0.1bar-1A,M20x1.5,от 0 до 0.1bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-20M-1bar-1A,M20x1.5,от 0 до 1bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-20M-6bar-1A,M20x1.5,от 0 до 6bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-20M-10bar-1A,M20x1.5,от 0 до 10bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-20M-16bar-1A,M20x1.5,от 0 до 16bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-20M-20bar-1A,M20x1.5,от 0 до 20bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-20M-50bar-1A,M20x1.5,от 0 до 50bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-20M-60bar-1A,M20x1.5,от 0 до 60bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-20M-100bar-1A,M20x1.5,от 0 до 100bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-20M-160bar-1A,M20x1.5,от 0 до 160bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-20M-250bar-1A,M20x1.5,от 0 до 250bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-20M-350bar-1A,M20x1.5,от 0 до 350bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-20M-400bar-1A,M20x1.5,от 0 до 400bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-20M-600bar-1A,M20x1.5,от 0 до 600bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-20M-800bar-1A,M20x1.5,от 0 до 800bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-4G-V0bar-1A,G 1/4,от -1 до 0bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-4G-V1bar-1A,G 1/4,от -1 до 1bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-4G-0.1bar-1A,G 1/4,от 0 до 0.1bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-4G-1bar-1A,G 1/4,от 0 до 1bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-4G-6bar-1A,G 1/4,от 0 до 6bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-4G-10bar-1A,G 1/4,от 0 до 10bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-4G-16bar-1A,G 1/4,от 0 до 16bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-4G-20bar-1A,G 1/4,от 0 до 20bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-4G-50bar-1A,G 1/4,от 0 до 50bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-4G-60bar-1A,G 1/4,от 0 до 60bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-4G-100bar-1A,G 1/4,от 0 до 100bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-4G-160bar-1A,G 1/4,от 0 до 160bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-4G-250bar-1A,G 1/4,от 0 до 250bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-4G-350bar-1A,G 1/4,от 0 до 350bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-4G-400bar-1A,G 1/4,от 0 до 400bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-4G-600bar-1A,G 1/4,от 0 до 600bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-4G-800bar-1A,G 1/4,от 0 до 800bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-8G-V0bar-1A,G 1/2,от -1 до 0bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-8G-V1bar-1A,G 1/2,от -1 до 1bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-8G-0.1bar-1A,G 1/2,от 0 до 0.1bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-8G-1bar-1A,G 1/2,от 0 до 1bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-8G-6bar-1A,G 1/2,от 0 до 6bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-8G-10bar-1A,G 1/2,от 0 до 10bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-8G-16bar-1A,G 1/2,от 0 до 16bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-8G-20bar-1A,G 1/2,от 0 до 20bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-8G-50bar-1A,G 1/2,от 0 до 50bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-8G-60bar-1A,G 1/2,от 0 до 60bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-8G-100bar-1A,G 1/2,от 0 до 100bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
,PTAA-S-8G-160bar-1A,G 1/2,от 0 до 160bar,4-20mA,DIN 43650-A,нет<br><img src=/assets/inventory/ptaa-bez-ft.png>,0.5%,нет
