#,Заказной код,Параметр:Заказной код:Материал корпуса,Параметр:Заказной код:Переключатель,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Материал поплавка,"Параметр:Заказной код:Материал деталей, контактирующих со средой",Параметр:Заказной код:Перепад,Параметр:Заказной код:Корпус / Поплавок / Детали
,"EDW-100-C-2-C-1-A-2-1-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDT,ANSI 150# 3,SS304,SS316,небольшой фиксированный перепад,сталь/SS304/SS316
,"EDW-100-C-2-C-1-A-2-2-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDT,ANSI 150# 3,SS304,SS304,небольшой фиксированный перепад,сталь/SS304/SS304
,"EDW-100-C-2-C-1-C-1-1-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDTx2,ANSI 150# 3,SS316,SS316,небольшой фиксированный перепад,сталь/SS316/SS316
,"EDW-100-C-2-C-1-C-1-2-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDTx2,ANSI 150# 3,SS316,SS304,небольшой фиксированный перепад,сталь/SS316/SS304
,"EDW-100-C-2-C-1-C-2-1-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDTx2,ANSI 150# 3,SS304,SS316,небольшой фиксированный перепад,сталь/SS304/SS316
,"EDW-100-C-2-C-1-C-2-2-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDTx2,ANSI 150# 3,SS304,SS304,небольшой фиксированный перепад,сталь/SS304/SS304
,"EDW-100-B-1-D-1-A-1-1-A-l1=____mm, l2=____mm",SS316 IP65,SPDT,ANSI 300# 2 1/2,SS316,SS316,небольшой фиксированный перепад,SS316/SS316/SS316
,"EDW-100-B-1-D-1-A-1-2-A-l1=____mm, l2=____mm",SS316 IP65,SPDT,ANSI 300# 2 1/2,SS316,SS304,небольшой фиксированный перепад,SS316/SS316/SS304
,"EDW-100-B-1-D-1-A-2-1-A-l1=____mm, l2=____mm",SS316 IP65,SPDT,ANSI 300# 2 1/2,SS304,SS316,небольшой фиксированный перепад,SS316/SS304/SS316
,"EDW-100-B-1-D-1-A-2-2-A-l1=____mm, l2=____mm",SS316 IP65,SPDT,ANSI 300# 2 1/2,SS304,SS304,небольшой фиксированный перепад,SS316/SS304/SS304
,"EDW-100-B-1-D-1-C-1-1-A-l1=____mm, l2=____mm",SS316 IP65,SPDTx2,ANSI 300# 2 1/2,SS316,SS316,небольшой фиксированный перепад,SS316/SS316/SS316
,"EDW-100-B-1-D-1-C-1-2-A-l1=____mm, l2=____mm",SS316 IP65,SPDTx2,ANSI 300# 2 1/2,SS316,SS304,небольшой фиксированный перепад,SS316/SS316/SS304
,"EDW-100-B-1-D-1-C-2-1-A-l1=____mm, l2=____mm",SS316 IP65,SPDTx2,ANSI 300# 2 1/2,SS304,SS316,небольшой фиксированный перепад,SS316/SS304/SS316
,"EDW-100-B-1-D-1-C-2-2-A-l1=____mm, l2=____mm",SS316 IP65,SPDTx2,ANSI 300# 2 1/2,SS304,SS304,небольшой фиксированный перепад,SS316/SS304/SS304
,"EDW-100-C-1-D-1-A-1-1-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDT,ANSI 300# 2 1/2,SS316,SS316,небольшой фиксированный перепад,сталь/SS316/SS316
,"EDW-100-C-1-D-1-A-1-2-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDT,ANSI 300# 2 1/2,SS316,SS304,небольшой фиксированный перепад,сталь/SS316/SS304
,"EDW-100-C-1-D-1-A-2-1-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDT,ANSI 300# 2 1/2,SS304,SS316,небольшой фиксированный перепад,сталь/SS304/SS316
,"EDW-100-C-1-D-1-A-2-2-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDT,ANSI 300# 2 1/2,SS304,SS304,небольшой фиксированный перепад,сталь/SS304/SS304
,"EDW-100-C-1-D-1-C-1-1-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDTx2,ANSI 300# 2 1/2,SS316,SS316,небольшой фиксированный перепад,сталь/SS316/SS316
,"EDW-100-C-1-D-1-C-1-2-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDTx2,ANSI 300# 2 1/2,SS316,SS304,небольшой фиксированный перепад,сталь/SS316/SS304
,"EDW-100-C-1-D-1-C-2-1-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDTx2,ANSI 300# 2 1/2,SS304,SS316,небольшой фиксированный перепад,сталь/SS304/SS316
,"EDW-100-C-1-D-1-C-2-2-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDTx2,ANSI 300# 2 1/2,SS304,SS304,небольшой фиксированный перепад,сталь/SS304/SS304
,"EDW-100-B-2-D-1-A-1-1-A-l1=____mm, l2=____mm",SS316 IP65,SPDT,ANSI 300# 3,SS316,SS316,небольшой фиксированный перепад,SS316/SS316/SS316
,"EDW-100-B-2-D-1-A-1-2-A-l1=____mm, l2=____mm",SS316 IP65,SPDT,ANSI 300# 3,SS316,SS304,небольшой фиксированный перепад,SS316/SS316/SS304
,"EDW-100-B-2-D-1-A-2-1-A-l1=____mm, l2=____mm",SS316 IP65,SPDT,ANSI 300# 3,SS304,SS316,небольшой фиксированный перепад,SS316/SS304/SS316
,"EDW-100-B-2-D-1-A-2-2-A-l1=____mm, l2=____mm",SS316 IP65,SPDT,ANSI 300# 3,SS304,SS304,небольшой фиксированный перепад,SS316/SS304/SS304
,"EDW-100-B-2-D-1-C-1-1-A-l1=____mm, l2=____mm",SS316 IP65,SPDTx2,ANSI 300# 3,SS316,SS316,небольшой фиксированный перепад,SS316/SS316/SS316
,"EDW-100-B-2-D-1-C-1-2-A-l1=____mm, l2=____mm",SS316 IP65,SPDTx2,ANSI 300# 3,SS316,SS304,небольшой фиксированный перепад,SS316/SS316/SS304
,"EDW-100-B-2-D-1-C-2-1-A-l1=____mm, l2=____mm",SS316 IP65,SPDTx2,ANSI 300# 3,SS304,SS316,небольшой фиксированный перепад,SS316/SS304/SS316
,"EDW-100-B-2-D-1-C-2-2-A-l1=____mm, l2=____mm",SS316 IP65,SPDTx2,ANSI 300# 3,SS304,SS304,небольшой фиксированный перепад,SS316/SS304/SS304
,"EDW-100-C-2-D-1-A-1-1-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDT,ANSI 300# 3,SS316,SS316,небольшой фиксированный перепад,сталь/SS316/SS316
,"EDW-100-C-2-D-1-A-1-2-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDT,ANSI 300# 3,SS316,SS304,небольшой фиксированный перепад,сталь/SS316/SS304
,"EDW-100-C-2-D-1-A-2-1-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDT,ANSI 300# 3,SS304,SS316,небольшой фиксированный перепад,сталь/SS304/SS316
,"EDW-100-C-2-D-1-A-2-2-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDT,ANSI 300# 3,SS304,SS304,небольшой фиксированный перепад,сталь/SS304/SS304
,"EDW-100-C-2-D-1-C-1-1-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDTx2,ANSI 300# 3,SS316,SS316,небольшой фиксированный перепад,сталь/SS316/SS316
,"EDW-100-C-2-D-1-C-1-2-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDTx2,ANSI 300# 3,SS316,SS304,небольшой фиксированный перепад,сталь/SS316/SS304
,"EDW-100-C-2-D-1-C-2-1-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDTx2,ANSI 300# 3,SS304,SS316,небольшой фиксированный перепад,сталь/SS304/SS316
,"EDW-100-C-2-D-1-C-2-2-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDTx2,ANSI 300# 3,SS304,SS304,небольшой фиксированный перепад,сталь/SS304/SS304
,"EDW-100-B-1-G10-1-A-1-1-A-l1=____mm, l2=____mm",SS316 IP65,SPDT,Гост Py10 Dy65,SS316,SS316,небольшой фиксированный перепад,SS316/SS316/SS316
,"EDW-100-B-1-G10-1-A-1-2-A-l1=____mm, l2=____mm",SS316 IP65,SPDT,Гост Py10 Dy65,SS316,SS304,небольшой фиксированный перепад,SS316/SS316/SS304
,"EDW-100-B-1-G10-1-A-2-1-A-l1=____mm, l2=____mm",SS316 IP65,SPDT,Гост Py10 Dy65,SS304,SS316,небольшой фиксированный перепад,SS316/SS304/SS316
,"EDW-100-B-1-G10-1-A-2-2-A-l1=____mm, l2=____mm",SS316 IP65,SPDT,Гост Py10 Dy65,SS304,SS304,небольшой фиксированный перепад,SS316/SS304/SS304
,"EDW-100-B-1-G10-1-C-1-1-A-l1=____mm, l2=____mm",SS316 IP65,SPDTx2,Гост Py10 Dy65,SS316,SS316,небольшой фиксированный перепад,SS316/SS316/SS316
,"EDW-100-B-1-G10-1-C-1-2-A-l1=____mm, l2=____mm",SS316 IP65,SPDTx2,Гост Py10 Dy65,SS316,SS304,небольшой фиксированный перепад,SS316/SS316/SS304
,"EDW-100-B-1-G10-1-C-2-1-A-l1=____mm, l2=____mm",SS316 IP65,SPDTx2,Гост Py10 Dy65,SS304,SS316,небольшой фиксированный перепад,SS316/SS304/SS316
,"EDW-100-B-1-G10-1-C-2-2-A-l1=____mm, l2=____mm",SS316 IP65,SPDTx2,Гост Py10 Dy65,SS304,SS304,небольшой фиксированный перепад,SS316/SS304/SS304
,"EDW-100-C-1-G10-1-A-1-1-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDT,Гост Py10 Dy65,SS316,SS316,небольшой фиксированный перепад,сталь/SS316/SS316
,"EDW-100-C-1-G10-1-A-1-2-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDT,Гост Py10 Dy65,SS316,SS304,небольшой фиксированный перепад,сталь/SS316/SS304
,"EDW-100-C-1-G10-1-A-2-1-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDT,Гост Py10 Dy65,SS304,SS316,небольшой фиксированный перепад,сталь/SS304/SS316
,"EDW-100-C-1-G10-1-A-2-2-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDT,Гост Py10 Dy65,SS304,SS304,небольшой фиксированный перепад,сталь/SS304/SS304
,"EDW-100-C-1-G10-1-C-1-1-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDTx2,Гост Py10 Dy65,SS316,SS316,небольшой фиксированный перепад,сталь/SS316/SS316
,"EDW-100-C-1-G10-1-C-1-2-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDTx2,Гост Py10 Dy65,SS316,SS304,небольшой фиксированный перепад,сталь/SS316/SS304
,"EDW-100-C-1-G10-1-C-2-1-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDTx2,Гост Py10 Dy65,SS304,SS316,небольшой фиксированный перепад,сталь/SS304/SS316
,"EDW-100-C-1-G10-1-C-2-2-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDTx2,Гост Py10 Dy65,SS304,SS304,небольшой фиксированный перепад,сталь/SS304/SS304
,"EDW-100-B-2-G10-1-A-1-1-A-l1=____mm, l2=____mm",SS316 IP65,SPDT,Гост Py10 Dy75,SS316,SS316,небольшой фиксированный перепад,SS316/SS316/SS316
,"EDW-100-B-2-G10-1-A-1-2-A-l1=____mm, l2=____mm",SS316 IP65,SPDT,Гост Py10 Dy75,SS316,SS304,небольшой фиксированный перепад,SS316/SS316/SS304
,"EDW-100-B-2-G10-1-A-2-1-A-l1=____mm, l2=____mm",SS316 IP65,SPDT,Гост Py10 Dy75,SS304,SS316,небольшой фиксированный перепад,SS316/SS304/SS316
,"EDW-100-B-2-G10-1-A-2-2-A-l1=____mm, l2=____mm",SS316 IP65,SPDT,Гост Py10 Dy75,SS304,SS304,небольшой фиксированный перепад,SS316/SS304/SS304
,"EDW-100-B-2-G10-1-C-1-1-A-l1=____mm, l2=____mm",SS316 IP65,SPDTx2,Гост Py10 Dy75,SS316,SS316,небольшой фиксированный перепад,SS316/SS316/SS316
,"EDW-100-B-2-G10-1-C-1-2-A-l1=____mm, l2=____mm",SS316 IP65,SPDTx2,Гост Py10 Dy75,SS316,SS304,небольшой фиксированный перепад,SS316/SS316/SS304
,"EDW-100-B-2-G10-1-C-2-1-A-l1=____mm, l2=____mm",SS316 IP65,SPDTx2,Гост Py10 Dy75,SS304,SS316,небольшой фиксированный перепад,SS316/SS304/SS316
,"EDW-100-B-2-G10-1-C-2-2-A-l1=____mm, l2=____mm",SS316 IP65,SPDTx2,Гост Py10 Dy75,SS304,SS304,небольшой фиксированный перепад,SS316/SS304/SS304
,"EDW-100-C-2-G10-1-A-1-1-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDT,Гост Py10 Dy75,SS316,SS316,небольшой фиксированный перепад,сталь/SS316/SS316
,"EDW-100-C-2-G10-1-A-1-2-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDT,Гост Py10 Dy75,SS316,SS304,небольшой фиксированный перепад,сталь/SS316/SS304
,"EDW-100-C-2-G10-1-A-2-1-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDT,Гост Py10 Dy75,SS304,SS316,небольшой фиксированный перепад,сталь/SS304/SS316
,"EDW-100-C-2-G10-1-A-2-2-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDT,Гост Py10 Dy75,SS304,SS304,небольшой фиксированный перепад,сталь/SS304/SS304
,"EDW-100-C-2-G10-1-C-1-1-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDTx2,Гост Py10 Dy75,SS316,SS316,небольшой фиксированный перепад,сталь/SS316/SS316
,"EDW-100-C-2-G10-1-C-1-2-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDTx2,Гост Py10 Dy75,SS316,SS304,небольшой фиксированный перепад,сталь/SS316/SS304
,"EDW-100-C-2-G10-1-C-2-1-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDTx2,Гост Py10 Dy75,SS304,SS316,небольшой фиксированный перепад,сталь/SS304/SS316
,"EDW-100-C-2-G10-1-C-2-2-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDTx2,Гост Py10 Dy75,SS304,SS304,небольшой фиксированный перепад,сталь/SS304/SS304
,"EDW-100-B-1-G16-1-A-1-1-A-l1=____mm, l2=____mm",SS316 IP65,SPDT,Гост Py16 Dy65,SS316,SS316,небольшой фиксированный перепад,SS316/SS316/SS316
,"EDW-100-B-1-G16-1-A-1-2-A-l1=____mm, l2=____mm",SS316 IP65,SPDT,Гост Py16 Dy65,SS316,SS304,небольшой фиксированный перепад,SS316/SS316/SS304
,"EDW-100-B-1-G16-1-A-2-1-A-l1=____mm, l2=____mm",SS316 IP65,SPDT,Гост Py16 Dy65,SS304,SS316,небольшой фиксированный перепад,SS316/SS304/SS316
,"EDW-100-B-1-G16-1-A-2-2-A-l1=____mm, l2=____mm",SS316 IP65,SPDT,Гост Py16 Dy65,SS304,SS304,небольшой фиксированный перепад,SS316/SS304/SS304
,"EDW-100-B-1-G16-1-C-1-1-A-l1=____mm, l2=____mm",SS316 IP65,SPDTx2,Гост Py16 Dy65,SS316,SS316,небольшой фиксированный перепад,SS316/SS316/SS316
,"EDW-100-B-1-G16-1-C-1-2-A-l1=____mm, l2=____mm",SS316 IP65,SPDTx2,Гост Py16 Dy65,SS316,SS304,небольшой фиксированный перепад,SS316/SS316/SS304
,"EDW-100-B-1-G16-1-C-2-1-A-l1=____mm, l2=____mm",SS316 IP65,SPDTx2,Гост Py16 Dy65,SS304,SS316,небольшой фиксированный перепад,SS316/SS304/SS316
,"EDW-100-B-1-G16-1-C-2-2-A-l1=____mm, l2=____mm",SS316 IP65,SPDTx2,Гост Py16 Dy65,SS304,SS304,небольшой фиксированный перепад,SS316/SS304/SS304
,"EDW-100-C-1-G16-1-A-1-1-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDT,Гост Py16 Dy65,SS316,SS316,небольшой фиксированный перепад,сталь/SS316/SS316
,"EDW-100-C-1-G16-1-A-1-2-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDT,Гост Py16 Dy65,SS316,SS304,небольшой фиксированный перепад,сталь/SS316/SS304
,"EDW-100-C-1-G16-1-A-2-1-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDT,Гост Py16 Dy65,SS304,SS316,небольшой фиксированный перепад,сталь/SS304/SS316
,"EDW-100-C-1-G16-1-A-2-2-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDT,Гост Py16 Dy65,SS304,SS304,небольшой фиксированный перепад,сталь/SS304/SS304
,"EDW-100-C-1-G16-1-C-1-1-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDTx2,Гост Py16 Dy65,SS316,SS316,небольшой фиксированный перепад,сталь/SS316/SS316
,"EDW-100-C-1-G16-1-C-1-2-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDTx2,Гост Py16 Dy65,SS316,SS304,небольшой фиксированный перепад,сталь/SS316/SS304
,"EDW-100-C-1-G16-1-C-2-1-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDTx2,Гост Py16 Dy65,SS304,SS316,небольшой фиксированный перепад,сталь/SS304/SS316
,"EDW-100-C-1-G16-1-C-2-2-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDTx2,Гост Py16 Dy65,SS304,SS304,небольшой фиксированный перепад,сталь/SS304/SS304
,"EDW-100-B-2-G16-1-A-1-1-A-l1=____mm, l2=____mm",SS316 IP65,SPDT,Гост Py16 Dy75,SS316,SS316,небольшой фиксированный перепад,SS316/SS316/SS316
,"EDW-100-B-2-G16-1-A-1-2-A-l1=____mm, l2=____mm",SS316 IP65,SPDT,Гост Py16 Dy75,SS316,SS304,небольшой фиксированный перепад,SS316/SS316/SS304
,"EDW-100-B-2-G16-1-A-2-1-A-l1=____mm, l2=____mm",SS316 IP65,SPDT,Гост Py16 Dy75,SS304,SS316,небольшой фиксированный перепад,SS316/SS304/SS316
,"EDW-100-B-2-G16-1-A-2-2-A-l1=____mm, l2=____mm",SS316 IP65,SPDT,Гост Py16 Dy75,SS304,SS304,небольшой фиксированный перепад,SS316/SS304/SS304
,"EDW-100-B-2-G16-1-C-1-1-A-l1=____mm, l2=____mm",SS316 IP65,SPDTx2,Гост Py16 Dy75,SS316,SS316,небольшой фиксированный перепад,SS316/SS316/SS316
,"EDW-100-B-2-G16-1-C-1-2-A-l1=____mm, l2=____mm",SS316 IP65,SPDTx2,Гост Py16 Dy75,SS316,SS304,небольшой фиксированный перепад,SS316/SS316/SS304
,"EDW-100-B-2-G16-1-C-2-1-A-l1=____mm, l2=____mm",SS316 IP65,SPDTx2,Гост Py16 Dy75,SS304,SS316,небольшой фиксированный перепад,SS316/SS304/SS316
,"EDW-100-B-2-G16-1-C-2-2-A-l1=____mm, l2=____mm",SS316 IP65,SPDTx2,Гост Py16 Dy75,SS304,SS304,небольшой фиксированный перепад,SS316/SS304/SS304
,"EDW-100-C-2-G16-1-A-1-1-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDT,Гост Py16 Dy75,SS316,SS316,небольшой фиксированный перепад,сталь/SS316/SS316
,"EDW-100-C-2-G16-1-A-1-2-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDT,Гост Py16 Dy75,SS316,SS304,небольшой фиксированный перепад,сталь/SS316/SS304
,"EDW-100-C-2-G16-1-A-2-1-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDT,Гост Py16 Dy75,SS304,SS316,небольшой фиксированный перепад,сталь/SS304/SS316
,"EDW-100-C-2-G16-1-A-2-2-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDT,Гост Py16 Dy75,SS304,SS304,небольшой фиксированный перепад,сталь/SS304/SS304
,"EDW-100-C-2-G16-1-C-1-1-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDTx2,Гост Py16 Dy75,SS316,SS316,небольшой фиксированный перепад,сталь/SS316/SS316
,"EDW-100-C-2-G16-1-C-1-2-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDTx2,Гост Py16 Dy75,SS316,SS304,небольшой фиксированный перепад,сталь/SS316/SS304
,"EDW-100-C-2-G16-1-C-2-1-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDTx2,Гост Py16 Dy75,SS304,SS316,небольшой фиксированный перепад,сталь/SS304/SS316
,"EDW-100-C-2-G16-1-C-2-2-A-l1=____mm, l2=____mm",Углеродистая Сталь IP65,SPDTx2,Гост Py16 Dy75,SS304,SS304,небольшой фиксированный перепад,сталь/SS304/SS304
,"EDW-100-B-1-G25-1-A-1-1-A-l1=____mm, l2=____mm",SS316 IP65,SPDT,Гост Py25 Dy65,SS316,SS316,небольшой фиксированный перепад,SS316/SS316/SS316
,"EDW-100-B-1-G25-1-A-1-2-A-l1=____mm, l2=____mm",SS316 IP65,SPDT,Гост Py25 Dy65,SS316,SS304,небольшой фиксированный перепад,SS316/SS316/SS304
,"EDW-100-B-1-G25-1-A-2-1-A-l1=____mm, l2=____mm",SS316 IP65,SPDT,Гост Py25 Dy65,SS304,SS316,небольшой фиксированный перепад,SS316/SS304/SS316
,"EDW-100-B-1-G25-1-A-2-2-A-l1=____mm, l2=____mm",SS316 IP65,SPDT,Гост Py25 Dy65,SS304,SS304,небольшой фиксированный перепад,SS316/SS304/SS304
,"EDW-100-B-1-G25-1-C-1-1-A-l1=____mm, l2=____mm",SS316 IP65,SPDTx2,Гост Py25 Dy65,SS316,SS316,небольшой фиксированный перепад,SS316/SS316/SS316
,"EDW-100-B-1-G25-1-C-1-2-A-l1=____mm, l2=____mm",SS316 IP65,SPDTx2,Гост Py25 Dy65,SS316,SS304,небольшой фиксированный перепад,SS316/SS316/SS304
,"EDW-100-B-1-G25-1-C-2-1-A-l1=____mm, l2=____mm",SS316 IP65,SPDTx2,Гост Py25 Dy65,SS304,SS316,небольшой фиксированный перепад,SS316/SS304/SS316
,"EDW-100-B-1-G25-1-C-2-2-A-l1=____mm, l2=____mm",SS316 IP65,SPDTx2,Гост Py25 Dy65,SS304,SS304,небольшой фиксированный перепад,SS316/SS304/SS304
